correct_sentence,gt,sentence,correction
"যেখানে ভারতের বেশির ভাগ লেনদেন হয় নগদ পরিশোধের মাধ্যমে , সেখানে মুদ্রা বাতিলের পর ভোগ বৃদ্ধি পাওয়া সম্ভব নয় বলে মনে করেন তাঁরা।","যেখানে ভারতের বেশির ভাগ লেনদেন হয় নগদ পরিশোধের মাধ্যমে , সেখানে মুদ্রা বাতিলের পর ভোগ বৃদ্ধি পাওয়া সম্ভব $ny$ বলে মনে করেন তাঁরা।","যেখানে ভারতের বেশির ভাগ লেনদেন হয় নগদ পরিশোধের মাধ্যমে , সেখানে মুদ্রা বাতিলের পর ভোগ বৃদ্ধি পাওয়া সম্ভব ny বলে মনে করেন তাঁরা।","[((105, 106), 'নয়')]"
"উত্তরা সরকারি কর্মকর্তা তাপস চন্দ্র বোস গতকাল প্রথম আলোকে জানান , এ মাসে এক মণ চাল কিনতে গিয়ে বস্তার মূল্য বৃদ্ধির অজুহাতে বিক্রেতাকে বাড়তি ৮০ টাকা দিতে হয়েছে।","উত্তরা সরকারি কর্মকর্তা তাপস চন্দ্র বোস গতকাল প্রথম আলোকে জানান , $e$ মাসে এক মণ চাল কিনতে গিয়ে বস্তার মূল্য বৃদ্ধির অজুহাতে বিক্রেতাকে বাড়তি ৮০ টাকা দিতে হয়েছে।","উত্তরা সরকারি কর্মকর্তা তাপস চন্দ্র বোস গতকাল প্রথম আলোকে জানান , e মাসে এক মণ চাল কিনতে গিয়ে বস্তার মূল্য বৃদ্ধির অজুহাতে বিক্রেতাকে বাড়তি ৮০ টাকা দিতে হয়েছে।","[((66, 66), 'এ')]"
"তবে তারাপুরের বসতি এলাকায় প্রায় দুই যুগ ধরে বসবাসকারী কেউই দখল করে নন , বরং বিভিন্ন হাতে জমি কেনাবেচা করে ঘরবাড়ি বানিয়েছেন।","তবে তারাপুরের বসতি এলাকায় প্রায় $due$ যুগ ধরে বসবাসকারী কেউই দখল করে $non$ , বরং বিভিন্ন হাতে জমি কেনাবেচা করে ঘরবাড়ি বানিয়েছেন।","তবে তারাপুরের বসতি এলাকায় প্রায় due যুগ ধরে বসবাসকারী কেউই দখল করে non , বরং বিভিন্ন হাতে জমি কেনাবেচা করে ঘরবাড়ি বানিয়েছেন।","[((32, 34), 'দুই'), ((67, 69), 'নন')]"
জ্বর ও ব্যথার নিদান হিসেবে এই রোগেও প্রথম দিকে শুধু প্যারাসিটামলই সেব্য।,জ্বর $u$ ব্যথার নিদান হিসেবে এই রোগেও প্রথম দিকে শুধু প্যারাসিটামলই সেব্য।,জ্বর u ব্যথার নিদান হিসেবে এই রোগেও প্রথম দিকে শুধু প্যারাসিটামলই সেব্য।,"[((5, 5), 'ও')]"
তিনি মানসম্মত শিক্ষাব্যবস্থা নিশ্চিত করার পাশাপাশি কিশোর-কিশোরীদের স্বাস্থ্যসেবার পেছনে বিনিয়োগ বাড়ানোর সুপারিশ করেন।,তিনি মানসম্মত শিক্ষাব্যবস্থা নিশ্চিত করার পাশাপাশি কিশোর-কিশোরীদের স্বাস্থ্যসেবার পেছনে বিনিয়োগ বাড়ানোর সুপারিশ করেন।,তিনি মানসম্মত শিক্ষাব্যবস্থা নিশ্চিত করার পাশাপাশি কিশোর-কিশোরীদের স্বাস্থ্যসেবার পেছনে বিনিয়োগ বাড়ানোর সুপারিশ করেন।,[]
সাত দিন ধরে শ্রমিক দিয়ে তিনি এসব সামগ্রী নিয়ে যাচ্ছেন।,সাত দিন ধরে শ্রমিক দিয়ে তিনি এসব সামগ্রী নিয়ে যাচ্ছেন।,সাত দিন ধরে শ্রমিক দিয়ে তিনি এসব সামগ্রী নিয়ে যাচ্ছেন।,[]
এর মধ্যেই হেলেদুলে চলছে যানবাহন।,এর মধ্যেই হেলেদুলে চলছে যানবাহন।,এর মধ্যেই হেলেদুলে চলছে যানবাহন।,[]
"দলীয় সূত্রগুলো বলছে , মতিউর রহমান বয়সের ভারে ও অসুস্থতার কারণে দৌড়ঝাঁপ করতে পারেন না।","দলীয় সূত্রগুলো বলছে , মতিউর রহমান বয়সের ভারে $u$ অসুস্থতার কারণে দৌড়ঝাঁপ করতে পারেন $none$।","দলীয় সূত্রগুলো বলছে , মতিউর রহমান বয়সের ভারে u অসুস্থতার কারণে দৌড়ঝাঁপ করতে পারেন none।","[((45, 45), 'ও'), ((82, 85), 'না')]"
"কমিশন সচিবালয়ের কর্মকর্তাদের মতে , সংবিধানের বিদ্যমান আইন অনুযায়ী সংসদের মেয়াদ শেষ হওয়ার ৯০ দিন আগে দলীয় সরকারের অধীনে নির্বাচন হবে।","$commission$ সচিবালয়ের কর্মকর্তাদের মতে , সংবিধানের বিদ্যমান আইন অনুযায়ী সংসদের মেয়াদ $says$ হওয়ার ৯০ দিন $ago$ দলীয় সরকারের অধীনে নির্বাচন হবে।","commission সচিবালয়ের কর্মকর্তাদের মতে , সংবিধানের বিদ্যমান আইন অনুযায়ী সংসদের মেয়াদ says হওয়ার ৯০ দিন ago দলীয় সরকারের অধীনে নির্বাচন হবে।","[((0, 9), 'কমিশন'), ((87, 90), 'শেষ'), ((106, 108), 'আগে')]"
( প্রতিবেদন তৈরিতে সহযোগিতা করেছেন রাজধানী প্রতিবেদক ড্রিঞ্জা চাম্বুগং ও গোলাম রব্বানী )।,( প্রতিবেদন তৈরিতে সহযোগিতা করেছেন রাজধানী প্রতিবেদক ড্রিঞ্জা চাম্বুগং $u$ গোলাম রব্বানী )।,( প্রতিবেদন তৈরিতে সহযোগিতা করেছেন রাজধানী প্রতিবেদক ড্রিঞ্জা চাম্বুগং u গোলাম রব্বানী )।,"[((71, 71), 'ও')]"
এটা একটা অন্ধকার দিক।,এটা একটা অন্ধকার দিক।,এটা একটা অন্ধকার দিক।,[]
এটি আমদানিনির্ভর স্থলবন্দর।,এটি আমদানিনির্ভর স্থলবন্দর।,এটি আমদানিনির্ভর স্থলবন্দর।,[]
বহু বছর ধরে এই কর গ্রাহকেরা দিয়ে যাচ্ছেন।,বহু বছর ধরে এই কর গ্রাহকেরা দিয়ে যাচ্ছেন।,বহু বছর ধরে এই কর গ্রাহকেরা দিয়ে যাচ্ছেন।,[]
খবর বাসসের।,খবর বাসসের।,খবর বাসসের।,[]
