correct_sentence,matched_token
"সামাজিক প্রতিরোধ কমিটি: বর্ষবরণ অনুষ্ঠানে নারীদের ওপর হামলাকারী ও লাঞ্ছনাকারীদের গ্রেপ্তারের দাবিতে ছাত্রছাত্রীদের কর্মসূচিতে পুলিশি হামলার প্রতিবাদে মানববন্ধন, বেলা তিনটায়, জাতীয় প্রেসক্লাবের সামনে",কমিটি
গত ১১ জুলাই পশ্চিমবঙ্গের উত্তর ২৪ পরগনা জেলার গাইঘাটা থানার আংরাইলের ক্ষেতপাড়া সীমান্ত পেরিয়ে বাংলাদেশে ঢোকার সময় বিএসএফের হাতে গ্রেপ্তার হয় পুত্রসহ ৩০ বছর বয়সী ওই নারী,জুলাই
"যত দিন বাংলা সাংবাদিকতা থাকবে, তত দিন তাঁর নাম উচ্চারিত হবে",নাম
ময়মনসিংহ সিটি করপোরেশন নির্বাচনে মেয়র পদে আওয়ামী লীগের প্রার্থী মো. ইকরামুল হক বিনা প্রতিদ্বন্দ্বিতায় নির্বাচিত হওয়ার পথে,সিটি
"কিন্তু আফগান অধিনায়কের বোকামি, স্বার্থপরতা যাই বলুন না কেন সেসবের এখানেই শেষ নয়",শেষ
ব্রাহ্মণবাড়িয়া সদর উপজেলায় লুৎফা বেগম (২১) নামের এক নববধূর ঝুলন্ত লাশ উদ্ধার করা হয়েছে,নামের
এথিকস অ্যাডভান্সড টেকনোলজিস লিমিটেড (ইএটিএল) ও প্রথম আলোর আয়োজনে গত বছরের জুলাই মাস থেকে শুরু হয়েছে এই প্রতিযোগিতা,অ্যাডভান্সড
দাবি আদায়ে আগামী ১১ অক্টোবর সচিবালয় ঘেরাও কর্মসূচি পালন করবেন,অক্টোবর
আরেকটি ভালো হাসপাতাল হচ্ছে ঢাকা মানসিক স্বাস্থ্য ইনস্টিটিউট,ইনস্টিটিউট
এ ছাড়া সমর্থকদের জন্য রাখা হয়েছে বিশ্বকাপের ট্রফি জয়ের ইভেন্ট,ইভেন্ট
"ইন্দোনেশিয়ার রেডক্রসের মুখপাত্র অলিয়া আরিয়ানি বার্তা সংস্থা রয়টার্সকে বলেন, ওই শিশুরা বাইবেল ক্যাম্পে যোগ দিয়েছিল",যোগ
এরপর বিকেল পাঁচটায় নিবন্ধিত প্রাক্তন শিক্ষার্থীদের অভ্যর্থনা দেওয়া হবে নগরের জিইসি কনভেনশন সেন্টারে,সেন্টারে
কিন্তু ঠিকাদারি প্রতিষ্ঠান তাদের কাজে গড়িমসি করছে বলে সিটি করপোরেশনের নির্বাহী প্রকৌশলী আজম আলী গতকাল শনিবার মুঠোফোনে প্রথম আলোকে জানিয়েছেন,সিটি
"এ ছাড়া তিনি অবৈধ অভিবাসীদের বহিষ্কারের অঙ্গীকার করেছেন, ওবামা প্রায় সাড়ে সাত লাখ বৈধ কাগজপত্রবিহীন অভিবাসীর স্বল্পকালীন স্বস্তির যে ব্যবস্থা করেছিলেন, নির্বাহী আদেশের মাধ্যমে তাও বাতিল করার ক্ষমতা রয়েছে তাঁর",যে
সকাল সাড়ে আটটার দিকে শেষ হয় এ জানাজা,শেষ
