source,text
কাজটি দ্রুত করতে গেলে কপালে টোকা লাগতে পারে।,"তুমি যদি কাজটা দ্রুত করতে চাও, তাহলে তোমার কপালে টোকা দিতে হবে।"
কিন্তু কীভাবে যে তৈরি হয়েছিল সেই মানচিত্র তা একটা ভৌতিক রহস্য।,কিন্তু কিভাবে এটি তৈরি করা হয়েছিল তার মানচিত্রটি একটি ভয়ঙ্কর রহস্য।
"সাইবেরিয়ার কুজবাস অঞ্চলেই রয়েছে ৫৬% কয়লার মজুদ, যেখানে রয়েছে রাশিয়ার সবচেয়ে বড় ও পৃথিবীর অন্যতম বড় কয়লার খনি।","সাইবেরিয়ার কুজবাস অঞ্চলে, ৫৬% কয়লার মজুদ রাশিয়ার বৃহত্তম এবং বিশ্বের বৃহত্তম কয়লা খনিগুলির মধ্যে একটি।"
এই হত্যাকান্ড নিয়ে মালয়েশিয়ার সঙ্গে উত্তর কোরিয়ার সম্পর্কে ইতোমধ্যে টানাপোড়েন তৈরি হয়েছে।,মালয়েশিয়ার সাথে উত্তর কোরিয়ার সম্পর্ক ইতোমধ্যে এই হত্যাকাণ্ড নিয়ে উদ্বেগের সৃষ্টি করেছে।
৬. স্থূলতা: মাত্রাতিরিক্ত ওজন (অথবা মোটা) স্তন ক্যান্সার হওয়ার ঝুঁকি বৃদ্ধি করে।,৬. স্থূলতা: অতিরিক্ত ওজন (বা চর্বি) স্তন ক্যান্সারের ঝুঁকি বাড়ায়।
প্রতিটি মেয়েরই উচিত গভীর এবং বিস্তৃতভাবে শিক্ষাকে আত্মস্থ করা।,প্রত্যেক মেয়ের উচিত শিক্ষাকে গভীর ও ব্যাপকভাবে গ্রহণ করা।
"শিক্ষা, স্বাস্থ্যে মনোযোগ দেওয়া দরকার, জলবায়ু পরিবর্তন ঠেকানোর কথা ভাবা দরকার।","শিক্ষা, স্বাস্থ্যের প্রতি মনোযোগ দেওয়া উচিত, জলবায়ু পরিবর্তন নিয়ে চিন্তা করা উচিত।"
কিন্তু মেরির ভাগ্যে প্রাতিষ্ঠানিক শিক্ষালাভের কোনো সুযোগ হয়নি।,কিন্তু মেরির প্রাতিষ্ঠানিক শিক্ষা লাভের কোনো সুযোগ ছিল না।
কে কখন কোথায় মশার কামড় খাবে তার কি নিশ্চয়তা আছে?,কেউ কখন মশা কামড়াবে তার কি কোন নিশ্চয়তা আছে?
তাদের গবেষণার ধরনটি ছিল বেশ অদ্ভূত।,তাদের গবেষণার প্রকৃতি ছিল খুবই বিচিত্র।
রসূল বাইলে একদিন তার প্র-পিতামহের নামে লাদাখে নিজস্ব জমিতে একটি হোটেল চালু করার স্বপ্ন দেখেন।,একদিন নবী তার দাদা-দাদীর নামে নিজের দেশ লাদাখে একটি হোটেল খোলার স্বপ্ন দেখেন।
ভারতীয় আর ব্রিটিশ সেনাদের উপর মাস্টার্ড গ্যাসের তুলনামূলক পরীক্ষাও করেছিলেন তারা।,তারা ভারতীয় ও ব্রিটিশ সৈন্যদের উপর সরিষা গ্যাসের তুলনামূলক পরীক্ষাও পরিচালনা করে।
আলোচনা অতিক্রম করতো বিজ্ঞান ও দর্শনের বিস্ময়কর পথও।,"এ ছাড়া, বিজ্ঞান ও দর্শনের চমৎকার পথও এই আলোচনাকে এগিয়ে নিয়ে গিয়েছিল।"
"""তারা এখন সুস্থ,"" জানালেন ক্রিস্টিনা।","ক্রিস্টিনা বলেছিলেন, ""এখন তারা সুস্থ আছেন।"
ক্ষুদ্র বস্তুগুলো একত্র হবার জন্য দৃঢ় আকর্ষণ বলের প্রয়োজন হয়।,ছোট ছোট বস্তুর একত্রিত হওয়ার জন্য শক্তিশালী আকর্ষণ শক্তির প্রয়োজন হয়।
এরপরই শুরু হল ফেসবুকে ভাইরাল পোষ্ট।,এরপর ফেসবুকে একটি ভাইরাল পোস্ট করা হয়েছে।
"মাহমুদ খান জানান, জিজ্ঞাসাবাদের জন্য তাকে পুলিশ তলব করে এবং জিজ্ঞাসাবাদ শেষে মামলার সাথে সংশ্লিষ্টতা পাওয়ায় তাকে গ্রেফতার দেখানো হয়।",মাহমুদ খান বলেন যে জিজ্ঞাসাবাদের জন্য পুলিশ তাকে তলব করে এবং জিজ্ঞাসাবাদের পর মামলায় জড়িত থাকার পর তাকে গ্রেপ্তার করা হয়।
