word,homonyms
অংস,['অংশ']
অংশ,['অংস']
অনু,"['অন্য', 'অণু']"
অণু,['অনু']
অশন,['অসন']
অসন,['অশন']
অনিল,"['অনীল', 'আনীল']"
অনীল,"['আনীল', 'অনিল']"
আনীল,"['অনীল', 'অনিল']"
অন্য,"['অনু', 'অন্ন']"
অপগত,['অবগত']
অবগত,['অপগত']
অবদান,['অবধান']
অবধান,['অবদান']
অবিরাম,['অভিরাম']
অভিরাম,['অবিরাম']
অবিহিত,['অভিহিত']
অভিহিত,['অবিহিত']
অর্থ-,['অর্ঘ্য']
অর্ঘ্য,"['অর্ঘ', 'অর্থ-']"
অশ্ব,['অশ্ম']
অশ্ম,['অশ্ব']
অসিত,['অশিত']
অশিত,['অসিত']
অসঙ্ত,['অশক্ত']
অশক্ত,"['অসক্ত', 'অসঙ্ত']"
অন্যপুষ্ট,"['অনুপুষ্ট', 'অন্নপুষ্ট']"
অনুপুষ্ট,['অন্যপুষ্ট']
অন্যান্য,['অন্যোন্য']
অন্যোন্য,"['অন্যন্য', 'অন্যান্য']"
অচ্যুত,['অচ্ছুত']
অচ্ছুত,['অচ্যুত']
অবিমিশ্র,['অবিমৃষ্য']
অবিমৃষ্য,['অবিমিশ্র']
অসিলতা,['অনীলতা']
অনীলতা,['অসিলতা']
অভ্যাস,['অভ্যাশ']
অভ্যাশ,['অভ্যাস']
অজগর,['অজাগর']
অজাগর,['অজগর']
অন্ত,['অন্ত্য']
অন্ত্য,['অন্ত']
অপচয়,['অবচয়']
অবচয়,['অপচয়']
আপন,['আপণ']
আপণ,['আপন']
আবরণ,['আভরণ']
আভরণ,['আবরণ']
আভাস,['আভাষ']
আভাষ,['আভাস']
আদি,['আধি']
আধি,['আদি']
আহুতি,['আহুতি']
আর্ত,['আত্ত']
আত্ত,['আর্ত']
ইতি,['ঈতি']
ঈতি,['ইতি']
ঈশ,['ইশ']
ইশ,['ঈশ']
উদ্যত,['উদ্ধত']
উদ্ধত,['উদ্যত']
উপাদান,['উপাধান']
উপাধান,['উপাদান']
ওষধি,['ওষধি']
কমল,['কোমল']
কোমল,['কমল']
কতক,['কথক']
কথক,['কতক']
কুড়ি,['কুঁড়ি']
কুঁড়ি,['কুড়ি']
কাদা,['কাদা']
কাটা,['কাঁটা']
কাঁটা,['কাটা']
কুজন,['কূজন']
কূজন,['কুজন']
কটি,['কোটি']
কোটি,['কটি']
কুট,['কূট']
কূট,['কুট']
কুল,['কূল']
কূল,['কুল']
কৃত,['ক্রীত']
ক্রীত,['কৃত']
