sentence,gt,text,spans,count_ignore,Bs,Is,same,distance
সংবাদপত্রে চাকরি করলেও কোনও মালিকানাগোষ্ঠীর কাছে মাথা নিচু করেন নি।,সংবাদপত্রে চাকরি করলেও$ কোন$ও মালিকানাগোষ্ঠীর কাছে মাথা নিচু করেন নি।,সংবাদপত্রে চাকরি করলেও কোনও মালিকানাগোষ্ঠীর কাছে মাথা নিচু করেন নি।,"[22, 23, 24, 25]",0,"[22, 23, 24, 25]",[],False,2
আমার ভূতের ভয়ও দূর হয়ে গেলো।,আমার ভূতের ভয়ও দূর হয়ে $গেলো$।,আমার ভূতের ভয়ও দূর হয়ে গেলো।,"[23, 24, 25, 26, 27]",0,"[23, 24, 25, 26, 27]",[],False,2
তোমার বোন অন্তঃসত্ত্বা।,তোমার বোন অন্তঃসত্ত্বা।,তোমার বোন অন্তঃসত্ত্বা।,[],0,[],[],True,0
জ্যোতিবাবু হতদরিদ্রের মধ্যে পড়েন না।,জ্যোতিবাবু হতদরিদ্রের মধ্যে পড়েন না।,জ্যোতিবাবু হতদরিদ্রের মধ্যে পড়েন না।,[],0,[],[],True,0
"এটি ভ্যাটেনফল ইউরোপ দ্বারা পরিচালিত হয়, যেটি ভ্যাটেনফলের একটি উপবিভাগ।","এটি ভ্যাটেনফল ইউরোপ দ্বারা পরিচালিত হয়, যেটি ভ্যাটেনফলের একটি উপবিভাগ।","এটি ভ্যাটেনফল ইউরোপ দ্বারা পরিচালিত হয়, যেটি ভ্যাটেনফলের একটি উপবিভাগ।",[],0,[],[],True,0
আর বাস্তবিকই সেদিন পতাকা উঠানো হয়নি।,আর বাস্তবিকই সেদিন পতাকা উঠানো হয়নি।,আর বাস্তবিকই সেদিন পতাকা উঠানো হয়নি।,[],0,[],[],True,0
এ অনুষ্ঠানকে বলা হয় ‘পাঁচটি’ বা ‘পাঁচ উঠানি’।,এ অনুষ্ঠানকে বলা হয় ‘পাঁচটি’ বা ‘পাঁচ উঠানি’।,এ অনুষ্ঠানকে বলা হয় ‘পাঁচটি’ বা ‘পাঁচ উঠানি’।,[],0,[],[],True,0
সালাউদ্দিন তত কষ্ট পায় না।,সালাউদ্দিন তত কষ্ট পায় না।,সালাউদ্দিন তত কষ্ট পায় না।,[],0,[],[],True,0
"আমি কিছু না ভেবে এদিক ওদিক একটু তাকিয়ে বললাম, আন্টি কাঁদছেন কেনো?","আমি কিছু না ভেবে এদিক ওদিক একটু তাকিয়ে বললাম, আন্টি কাঁদছেন $কেনো$?","আমি কিছু না ভেবে এদিক ওদিক একটু তাকিয়ে বললাম, আন্টি কাঁদছেন কেনো?","[60, 61, 62, 63]",0,"[60, 61, 62, 63]",[],False,2
ভোগান্তি পোহাতে হয়েছে চট্টগ্রাম বিশ্ববিদ্যালয়ে ভর্তি পরীক্ষায় অংশ নিতে যাওয়া শিক্ষার্থীদেরও।,ভোগান্তি পোহাতে হয়েছে চট্টগ্রাম বিশ্ববিদ্যালয়ে ভর্তি পরীক্ষায় অংশ নিতে যাওয়া শিক্ষার্থীদেরও।,ভোগান্তি পোহাতে হয়েছে চট্টগ্রাম বিশ্ববিদ্যালয়ে ভর্তি পরীক্ষায় অংশ নিতে যাওয়া শিক্ষার্থীদেরও।,[],0,[],[],True,0
