text,label
অসাধারণ নিশো বস্ আর অমি ভাইকেও।,p
আমার দেখা বেস্ট নাটক,p
"নাটক টা অনেক সুন্দর হয়েছে,,,,আফরান নিশো ভাইয়া আপনিই বেস্ট,,,,,I love you ভাইয়া,,, এবং তানজিল আপুকে",p
সত্যি অসাধারণ একটি রিলেশন,p
মজা পাইছি ভাষা গুলো কেমন লাগলো,p
খুব সুন্দর হয়েছে,p
অনেক হাসির একটা নাটক এবং রুমান্টিক,p
বিউটিফুল,p
ভাললোই লাগল,p
"কখনো নাটক দেখে চোখে পানি আসেনি ,,,,but এই নাটকটা দেখে বৃষ্টির মতো পানি নামিয়েছে দুচোখ দিয়ে ,,,,,!!!! গল্পটা ভালো ছিল ,,,,,!!!!",p
নাটক টা অনেক ভাল ছিল। সত্যি কারের ভালবাসার প্রমাণ পেল।,p
ভাইয়া তোমাদের আমার খুব ভালো লাগছে,p
ভালো ছিলো,p
গল্প টা খুব সুন্দর ছিল।,p
অনেকদিন বাদে সুন্দর একটা নাটক দেখলাম।,p
নাটক টা দেখলাম অসাধারন হইছে  নিশু ভাই ত আমার পছন্দের একটি অসাধারন মানুষ আর তিশা আমি তুমার চেহেরাটাই ভুলতে পারিনা জানিনা তুমি কার ভাগ্যে আছু আমার খুব পছন্দের একটি বাগানের গোলাপ নাম তার তানজিনা তিশা গোলাপের মতোই অপরুপ,p
শাহাব উদ্দিন শান্ত কুমিল্লা প্রবাসী এক কথায় অসাধারণ নাটক,p
শেষের গানটা খুব সুন্দর,p
"Awesome boss & tisha also...  চোখের পানি চলে আসলো,,,",p
টাংগাইল বাসীর গর্ব,p
ভালো  লাগছে অসাধারণ হয়েছে নিসো ভাই,p
"অসাধারণ ভাই।।।নিশো ভাই, তোমার দ্বারাই এটা সম্ভব।।।",p
ভালো লাগলো,p
খুব ভাল লাগলো,p
অসাধারণ অসাধারণ অপুরব,p
অসাধারণ অভিনয়।  অসাধারণ নাটক।  ভালো লাগার মতো একটি নাটক।,p
অনেক সুন্দর লাগছে,p
"এতো ভালো লাগলো বলে বোঝাতে পারবোনা, বাট শুরুর দিকে অনেক হেসেছি,তারপর কান্না ,",p
সত্যি অসাধারণ গল্পের অসাধারণ একটি নাটক। শেষ দৃশ্যে কোনোভাবেই চোখের পানি আটকাতে পারিনি। তবে নাটকের সংলাপে তুই তোকারি করাটা হয়ত মেনে নেয়া যায় কিন্তু  কুত্তার বাচ্চা বলে গালি দেয়া এবং গায়ে হাত তোলাটা কোনোভাবেই মেনে নেয়া যায় না।,p
অসাধারণ একটা নাটক,p
অনেক ভালো একটা নাটক ছিলো।অনেক ভালো লাগলো। ধন্যবাদ পরিচালক সাহেব কে।আরফান নিশো বস,p
চমৎকার নাটক,p
"নিশু ভাই আপ্নের নাটক যত দেখি তত ভাল লাগে,,,,,,, সালাম তমায়",p
শেষ এর পার্টটা দেখতে দেখতে কখন যে চোখে পানি চলে আসলো বুঝতেও পারিনি।।ভালোবাসাটা এরকমই হয়।।বাইরে থেকে বুঝা যায় না।কিন্তু ভিতরটা ফেটে যায়।।love you Nisho viya and my lovely person Tisha appu.,p
Just ফাটাফাটি!,p
অসাধারণ লাগলো ভিডিও টা.আমি India থেকে  star দিলাম ভিডিও টাই.,p
নাটক টি আমার কাছে ভালো লাগে,p
