অম্ভ, B-PER
অম্ভক, E-PER
অম্ভত্থ, B-PER
অম্ভা, E-PER
অম্ভু, B-PER
অম্ভুদ, I-PER
অম্ভুধি, E-PER
অম্ভ্, B-PER
অম্মআণি, E-PER
গিণ্নী, S-PER
গিণ্নীকে, S-PER
যিগীর, S-PER
জিগীশা, B-PER
জিগীসু, E-PER
ভৈরাট, B-PER
ভৈরি, I-PER
ভৈরী, E-PER
মীঝান, B-PER
মুঁধোরি, E-PER
মুযদ, B-PER
মুযরা, E-PER
মুযরো, B-PER
মুঝাদ্, I-PER
মুঝাদ্দিদ, E-PER
মুঝাহিদ্, B-PER
মুঝাহ্, I-PER
মুযিজা, E-PER
মুযী, B-PER
মুযুরি, I-PER
মুঝ্, E-PER
মুযকো, B-PER
মুঞ্ঝ, I-PER
মুঞ্যরী, E-PER
মুণফা, B-PER
মুণশী, E-PER
মুণসিফ, B-PER
মুণাক্, I-PER
মুণাক্কা, E-PER
মুণি, B-PER
মুণিকে, E-PER
মুণিরা, S-PER
মুণিষ, B-PER
মুণিয়া, I-PER
মুণীর, E-PER
মোউণি, B-PER
মোঊনো, E-PER
মোউরষি, B-PER
মোঊরি, E-PER
মোঊর্, B-PER
মোঊলা, E-PER
মোঊলি, B-PER
মোঊলো, E-PER
মোঊল্, B-PER
মোঊয়া, E-PER
মোঊয়াল্, B-PER
মোঝা, I-PER
মোযুরা, E-PER
মোয্, B-PER
মোজু, E-PER
মোধো, B-PER
মোধ্, I-PER
মোণা, E-PER
মোণি, B-PER
মোণিশ্, I-PER
মোণু, E-PER
মোণুশ্, B-PER
মোণ্, I-PER
মোভা, E-PER
মোযহাভ, B-PER
মোয়ন, E-PER
রাঘোভ্, B-PER
রাযঃ, E-PER
রাযকীয়, B-PER
রাঝগি, I-PER
রাযগী, E-PER
রাযণীতিক, B-PER
রাঝতখ্, I-PER
রাঝত্ব, E-PER
রাযনী, B-PER
রাযন্, I-PER
রাযি, E-PER
রাযিত, B-PER
রাযোক্, E-PER
রাযোচ্, B-PER
রাঝোত্, E-PER
রাঝোস্, B-PER
রায্, I-PER
রাঝ্ঞী, E-PER
রাঝ্য, B-PER
রায্যি, I-PER
রাঢার, E-PER
রাঢধেশীয়, B-PER
রাধি, I-PER
রাধী, E-PER
রাধণা, B-PER
রাধোণ্, E-PER
রাণি, B-PER
রাণু, I-PER
রাণের, E-PER
রাণো, B-PER
রাণ্, E-PER
রাণ্ধা, B-PER
রাণ্ধিহ, E-PER
রুকভো, B-PER
রুছা, E-PER
রুছ্, B-PER
রুঝু, E-PER
রুঝ্, B-PER
রুণি, E-PER
রুণ্, B-PER
রুভা, E-PER
লিয্জে, S-LOC
লুঈস, B-PER
লুঈস্, I-PER
লুছী, E-PER
লুচুঈ, B-PER
লুছ্, I-PER
লুঞ্ছ্, E-PER
লুঢু, B-PER
