Word,Error
তখন,তকন
তখন,তক্ষণ
তখন,তকহ্ন
পাইলট,পাইলত
পাইলট,পাইল্ট
প্রতিবাদ,পতিবাদ
জানিয়ে,জানিয়ে
বলেন,বললেন
বলেন,বলেণ
বলেন,বিলেন
বলেন,বলন
বলেন,বলেছে
বলেন,বলে
বলেন,বিলেম
যে,জে
যে,জ
ঢাকা,দাকা
ঢাকা,ডাকা
বিমানবন্দর,বিমানবন্দরে
সম্পর্কে,শম্পকে
সম্পর্কে,শম্পরে
সম্পর্কে,শম্পরকে
সম্পর্কে,সম্পরকে
তাদের,তদের
তাদের,তার
তাদের,তাদর
তাদের,তআদের
তাদের,তাঁদের
তাদের,টাদের
কোন,কন
কোন,কওন
কোন,কুনো
কোন,কুন
ধারণা,দারনা
ধারণা,ধারনা
নেই,নেউ
নেই,ণেই
নেই,নাই
ফলে,পলে
ফলে,ফোলে
ফলে,ফ্লে
সেখানে,শেখানে
সেখানে,সেখান্র
সেখানে,সেকানে
অবতরণ,অবতরন
করা,অরা
করা,করাআ
করা,কড়া
করা,করে
করা,করআ
করা,ক্করা
নিরাপদ,নিরাপর
হবে,হব্বে
হবে,হয়ে
হবে,হইবে
হবে,হপবে
না,ণা
না,নাহ
না,নে
না,সনা
টিফানি,তিফানি
অ্যাডামস,আদামস
এয়ার,এয়ার
কানাডার,কানাদার
কানাডার,চানাদার
একটি,এক্তি
একটি,এক্তটি
একটি,এক্তা
একটি,একতি
একটি,একটা
একটি,এতি
একটি,আক্তি
চড়ে,ছরে
থেকে,ঠেকে
থেকে,তেকে
থেকে,থীকে
থেকে,থেলে
থেকে,থেকী
থেকে,থেকা
থেকে,থেক
থেকে,থাকে
থেকে,থকে
টরোন্টো,তরেন্তি
যাচ্ছিলেন,জাছিলেন
যাচ্ছিলেন,জাছছিলেন
যাচ্ছিলেন,জাচ্ছিলেন
যাত্রা,জাত্রা
পথে,পতে
ঘুমিয়ে,গুমিয়ে
পড়েছিলেন,পরেছিয়ান
পড়েছিলেন,পরেছিলেন
তিনি,তিন্নি
তিনি,তিন্মি
তিনি,রিনি
তিনি,তনি
তিনি,তিনই
তিনি,তিইনি
তিনি,তিউনি
তিনি,তিনিও
আওয়ামী,আওয়ামি
আওয়ামী,আওামি
আওয়ামী,আওয়মি
লীগের,লিগের
লীগের,লেয়াগুঈর
লীগের,লেয়াগুএর
মেয়র,মেয়া
প্রার্থী,প্রারথি
প্রার্থী,পারথি
প্রার্থী,প্রাথি
প্রার্থী,প্রাত্থি
প্রার্থী,প্রানি
বৃষ্টির,ব্রিশ্তির
বৃষ্টির,ব্রিস্তির
বৃষ্টির,ব্রিশটির
কারণে,কারনে
কারণে,করনে
কারণে,কারেনে
কারণে,কাড়োণে
কারণে,কারইনে
কারণে,কারিওনে
ভোটারদের,ভতারদের
ভোটারদের,বটারদের
ভোটারদের,ভতেরদের
উপস্থিতি,উপস্থিত
উপস্থিতি,উপস্থিতই
উপস্থিতি,উপস্তিতি
তারপরও,তারপর
তারপরও,তারপরো
আমি,আমই
আমি,আমিও
আমি,আম্মি
অনুরোধ,অনুরধ
অনুরোধ,অনুদরহ
অনুরোধ,অনুরোদ
করবো,করব
আপনারা,আপ্নারা
আপনারা,আপান্রা
আপনারা,আপ্নাআর
ভোট,ভত
ভোট,বত
ভোট,ভতে
ভোট,ভহত
ভোট,ভোটে
ভোট,বোট
ভোট,ভট
দিতে,দিটে
আসুন,আশুন
ক্যাপ্টেনকে,কেপ্তেঙ্কে
ক্যাপ্টেনকে,কেপ্তেনকে
এসব,এশব
এসব,এসন
এসব,ঈসব
এসব,আইসব
ভুল,বুল
তথ্য,তত্ত
তথ্য,তত্থ
তথ্য,তত্থের
তথ্য,তথও
তথ্য,তথ
পরিণতিতেই,পরিনতিতেই
সিদ্ধান্ত,সিদ্ধানি
সিদ্ধান্ত,সিদান্ত
সিদ্ধান্ত,সিধধান্ত
সিদ্ধান্ত,শিদ্ধান্ত
সিদ্ধান্ত,সিদ্ধান্তত
সিদ্ধান্ত,সিধান্ত
সিদ্ধান্ত,সিদ্দান্ত
সিদ্ধান্ত,শিধধান্ত
সিদ্ধান্ত,শিধান্ত
এবং,এবন
এবং,এবিং
এবং,এভং
এবং,আবং
এবং,তেহ্রান
এবং,আনবং
এবং,আবাওং
গুলি,গুলো
গুলি,হুলি
করার,করাই
করার,করর
করার,কড়ার
আদেশ,আদেস
এসেছিল,এশেছিল
ঘটনার,ঘত্নার
ঘটনার,ঘতনার
ঘটনার,গত্নার
ঘটনার,গরনার
ঘটনার,গথনার
ঘটনার,গতনার
ঘটনার,ঘটনাড়
ঘটনার,ঘটনা
ঘটনার,ঘতনায়
ঘটনার,ঘতন্সার
ঘটনার,ঘতনা
ভিনসেন্সের,ভিন্সেনের
তার,তারা
তার,তাএ
তার,তাড়
তার,তাঁর
তার,রাত
তার,আর
তার,তাএর
তার,ত্রার
তার,তা
আচরণের,আছরনের
আচরণের,আচরনের
জন্য,জন্ন
জন্য,জন্নে
জন্য,জন্ন্য
জন্য,জনে্য
জন্য,জনয়
জন্য,জনন
জন্য,জন
জন্য,কন্ন
জন্য,জন্নন
জন্য,জন্নপ
জন্য,জিওন্ন
পুরস্কৃত,পুরশক্রিত
পুরস্কৃত,পুরস্ক্রিত
হয়,হয়
হয়,হই
হয়,হওয়
বাংলাদেশে,বাংলাদেহে
বাংলাদেশে,বাংলাদেশএ
বাংলাদেশে,বাংলাদেশের
আজকে,আজক
যিনি,জিনি
প্রধানমন্ত্রী,প্রদান্মন্ত্র
প্রধানমন্ত্রী,প্রধান্মন্ত্রি
প্রধানমন্ত্রী,পদান্মন্তি
প্রধানমন্ত্রী,পদান্মন্ত্রি
প্রধানমন্ত্রী,পধান্মন্ত্রি
প্রধানমন্ত্রী,প্রধাণমন্ত্রি
প্রধানমন্ত্রী,প্রধানমন্ত্রি
উদাহরণ,উদাহুরন
উদাহরণ,উদাহরন
উদাহরণ,উধারন
আছে,আসে
আছে,আশে
আছে,আচে
কারাবন্দি,কারাবন্দু
হয়ে,হয়র
হয়ে,হয়
হয়ে,জয়ে
হয়ে,হএ
হয়ে,হোয়ে
হয়ে,হয়েএ
হয়ে,হয়ুএ
চিকিৎসার,ছিঙ্কিতশার
চিকিৎসার,চিকিথসার
চিকিৎসার,চিকিথশার
চিকিৎসার,ছিকিথসার
চিকিৎসার,ছিকিতশার
চিকিৎসার,চিকিতশার
চিকিৎসার,চিকিসার
চিকিৎসার,চিকিতসার
প্যারোলে,পারলে
বিদেশে,বীদেশে
গিয়েছেন,গিয়েছেদ
এগুলোর,এগিলর
এগুলোর,এগুলর
চীনের,ছিনের
চীনের,চীণেড়
চীনের,চিনের
জীববৈচিত্র্যের,জিব্বইছিত্রের
ভারসাম্য,ভাইরশাম্ম
নষ্ট,নশ্ত
নষ্ট,নস্ত
যেতে,জেতে
পারে,পাড়ে
পারে,প্রে
পারে,ওয়াশিংতন
বলে,ভলে
বলে,বোলে
বলে,বাল্লে
বলে,বেল
আশঙ্কা,আশকা
আশঙ্কা,আসঙ্কা
আশঙ্কা,আসুংকা
আশঙ্কা,আসংখা
আশঙ্কা,আশংকা
হয়,হ্য
হয়,হই
হয়,হৈ
হয়,হুই
হয়,হোয়
হয়,হয়য়
হয়,হএ
হয়,হয়ে
হয়,হপয়
হয়,হপ্য
অবস্থায়,অবস্তায়
অবস্থায়,আবস্থায়
অবস্থায়,অবস্থাই
অবস্থায়,অবস্থাএ
চাঙ্গসা,ছাংসা
শুল্ক,সুল্ক
দফতর,দফতড়
জানিয়েছে,জানিয়েচেন
জানিয়েছে,জানিএছে
জানিয়েছে,জানিএসে
জানিয়েছে,জানিয়েছেন
তারা,তার
তারা,তরা
তারা,তাড়া
তারা,তারআ
পার্সেলগুলো,পারসেল্গুল
মেনে,মানে
করে,করেন
করে,কওরে
করে,ক্রে
করে,কড়ে
করে,কুরে
দেবে,দিবে
হাইকোর্টের,হাইকরতের
হাইকোর্টের,হিঘচউরতের
জামিনের,জামিনেরর
ব্যাপারে,বাপারে
ব্যাপারে,ব্যপারে
ব্যাপারে,বেপারে
ব্যাপারে,বেপার
নতুন,নতূন
নতুন,নতুইন
নতুন,নোতুন
নেয়ার,ইয়ার
নেয়ার,নেওয়ার
নেয়ার,নেয়াড়
নেয়ার,নেওার
নেয়ার,নেওয়া
নেয়ার,নিয়ের
কারণ,কারিন
কারণ,কারন
কারণ,করান
কারণ,কারনে
হাইকোর্ট,হাইকরত
হাইকোর্ট,হাইকর্তে
হাইকোর্ট,হিঘকোর্ট
হাইকোর্ট,হিঘচউরত
সব,শব
সব,সইব
কিছু,কিছি
কিছু,কিচু
কিছু,কিসু
বিবেচনা,বিবেছনা
জামিন,জামইন
প্রথমতো,প্রথমত
আমরা,আমারা
আমরা,আমার
আমরা,আমিরা
আমরা,আমরাও
আমরা,আমড়া
আমরা,আম্রা
আমরা,আম্রআ
কোষ্ঠ,কশ্ত
ব্যবস্থাপনায়,বেবস্থাপনায়
যাতে,জাতে
শক্ত,সক্ত
মলত্যাগে,মলতাগে
কষ্ট,কশ্ত
কষ্ট,কস্ত
কষ্ট,কসত
কষ্ট,কশত
কষ্ট,কশট
ব্যবস্থা,বেবস্থা
ব্যবস্থা,অবশ্তহা
ব্যবস্থা,বেবস্তা
ব্যবস্থা,বাবস্থা
ব্যবস্থা,বেসস্থা
নিতে,নিয়ে
নিতে,দিতে
নিতে,নীতে
সিলেটের,সিলেতের
বিভিন্ন,বিবিন্ন
বিভিন্ন,বিভিন
বিভিন্ন,ভিবিন্ন
বিভিন্ন,বিভিনন্ন
বিভিন্ন,বিভিন্নি
বিভিন্ন,বিভন্ন
চা,ছা
বাগানসহ,বাগানশহ
মনোরম,মনরম
লোকেশনে,লকেশেওনে
এই,এঈ
এই,এঁর
এই,অই
