correct_sentence,gt
আজ থেকে নির্বাচনী প্রচারণা শুরু হয়েছে,আজ থেকে নির্বাচনী প্রচারণা শুরু হয়েছে
"ওয়ানডেতে ৫২.৯৩ গড়ের কোহলির টি-টোয়েন্টি গড় ৫৭.১৩!অবশ্য ব্যাটিং গড় অনেক পরের বিষয়, কোহলির ব্যাটিংয়ের সৌন্দর্য বুঝতে রসকষহীন পরিসংখ্যানের কাছে হাত পাততে হয় না","ওয়ানডেতে ৫২.৯৩ গড়ের কোহলির টি-টোয়েন্টি গড় ৫৭.১৩!অবশ্য ব্যাটিং গড় অনেক পরের বিষয়, কোহলির ব্যাটিংয়ের সৌন্দর্য বুঝতে রসকষহীন পরিসংখ্যানের কাছে হাত পাততে হয় না"
ভিটামিন সি-এর ভালো উৎস হলো নানা ধরনের ফল,ভিটামিন সি-এর ভালো উৎস হলো নানা ধরনের ফল
গত দুই বছর ধরে ইউনিয়নের মানুষের খেদমত করে যাচ্ছি,গত দুই বছর ধরে ইউনিয়নের মানুষের খেদমত করে যাচ্ছি
দমকা হাওয়া প্রকৃতিতে জানান দিচ্ছে বৈশাখ আসছে,দমকা হাওয়া প্রকৃতিতে জানান দিচ্ছে বৈশাখ আসছে
পরে সেটি খাঁচায় ভরে উপজেলা নির্বাহী কর্মকর্তার (ইউএনও) কার্যালয়ে নিয়ে যাওয়া হয়,পরে সেটি খাঁচায় ভরে উপজেলা নির্বাহী কর্মকর্তার (ইউএনও) কার্যালয়ে নিয়ে যাওয়া হয়
এমনকি আরব উপসাগরের ভূ-রাজনৈতিক পাশার দানে ছোট্ট এই দেশকে নানাভাবে কোণঠাসা করার চেষ্টা করছে মধ্যপ্রাচ্যের ক্ষমতাধর দেশগুলো,এমনকি আরব উপসাগরের ভূ-রাজনৈতিক পাশার দানে ছোট্ট এই দেশকে নানাভাবে কোণঠাসা করার চেষ্টা করছে মধ্যপ্রাচ্যের ক্ষমতাধর দেশগুলো
"সামাজিক প্রতিরোধ কমিটি: বর্ষবরণ অনুষ্ঠানে নারীদের ওপর হামলাকারী ও লাঞ্ছনাকারীদের গ্রেপ্তারের দাবিতে ছাত্রছাত্রীদের কর্মসূচিতে পুলিশি হামলার প্রতিবাদে মানববন্ধন, বেলা তিনটায়, জাতীয় প্রেসক্লাবের সামনে","সামাজিক প্রতিরোধ কমিটি: বর্ষবরণ অনুষ্ঠানে নারীদের ওপর হামলাকারী ও লাঞ্ছনাকারীদের গ্রেপ্তারের দাবিতে ছাত্রছাত্রীদের কর্মসূচিতে পুলিশি হামলার প্রতিবাদে মানববন্ধন, বেলা তিনটায়, জাতীয় প্রেসক্লাবের সামনে"
আঁটসাঁট ও সাদা-কালো রঙের পোশাক এই সময়ের জন্য নয়,আঁটসাঁট ও সাদা-কালো রঙের পোশাক এই সময়ের জন্য নয়
এতে বাসটি উল্টে গিয়ে এ হতাহতের ঘটনা ঘটে,এতে বাসটি উল্টে গিয়ে এ হতাহতের ঘটনা ঘটে
গত ১১ জুলাই পশ্চিমবঙ্গের উত্তর ২৪ পরগনা জেলার গাইঘাটা থানার আংরাইলের ক্ষেতপাড়া সীমান্ত পেরিয়ে বাংলাদেশে ঢোকার সময় বিএসএফের হাতে গ্রেপ্তার হয় পুত্রসহ ৩০ বছর বয়সী ওই নারী,গত ১১ জুলাই পশ্চিমবঙ্গের উত্তর ২৪ পরগনা জেলার গাইঘাটা থানার আংরাইলের ক্ষেতপাড়া সীমান্ত পেরিয়ে বাংলাদেশে ঢোকার সময় বিএসএফের হাতে গ্রেপ্তার হয় পুত্রসহ ৩০ বছর বয়সী ওই নারী
কিন্তু তারপরও হাল ছাড়েননি,কিন্তু তারপরও হাল ছাড়েননি
হয়তো একটি ফোল্ডার তৈরি করে সংগীতবিষয়ক সব অ্যাপ সে ফোল্ডারে রাখলেন,হয়তো একটি ফোল্ডার তৈরি করে সংগীতবিষয়ক সব অ্যাপ সে ফোল্ডারে রাখলেন
"যত দিন বাংলা সাংবাদিকতা থাকবে, তত দিন তাঁর নাম উচ্চারিত হবে","যত দিন বাংলা সাংবাদিকতা থাকবে, তত দিন তাঁর নাম উচ্চারিত হবে"
ময়মনসিংহ সিটি করপোরেশন নির্বাচনে মেয়র পদে আওয়ামী লীগের প্রার্থী মো. ইকরামুল হক বিনা প্রতিদ্বন্দ্বিতায় নির্বাচিত হওয়ার পথে,ময়মনসিংহ সিটি করপোরেশন নির্বাচনে মেয়র পদে আওয়ামী লীগের প্রার্থী মো. ইকরামুল হক বিনা প্রতিদ্বন্দ্বিতায় নির্বাচিত হওয়ার পথে
"কিন্তু আফগান অধিনায়কের বোকামি, স্বার্থপরতা যাই বলুন না কেন সেসবের এখানেই শেষ নয়","কিন্তু আফগান অধিনায়কের বোকামি, স্বার্থপরতা যাই বলুন না কেন সেসবের এখানেই শেষ নয়"
ব্রাহ্মণবাড়িয়া সদর উপজেলায় লুৎফা বেগম (২১) নামের এক নববধূর ঝুলন্ত লাশ উদ্ধার করা হয়েছে,ব্রাহ্মণবাড়িয়া সদর উপজেলায় লুৎফা বেগম (২১) নামের এক নববধূর ঝুলন্ত লাশ উদ্ধার করা হয়েছে
এথিকস অ্যাডভান্সড টেকনোলজিস লিমিটেড (ইএটিএল) ও প্রথম আলোর আয়োজনে গত বছরের জুলাই মাস থেকে শুরু হয়েছে এই প্রতিযোগিতা,এথিকস অ্যাডভান্সড টেকনোলজিস লিমিটেড (ইএটিএল) ও প্রথম আলোর আয়োজনে গত বছরের জুলাই মাস থেকে শুরু হয়েছে এই প্রতিযোগিতা
দাবি আদায়ে আগামী ১১ অক্টোবর সচিবালয় ঘেরাও কর্মসূচি পালন করবেন,দাবি আদায়ে আগামী ১১ অক্টোবর সচিবালয় ঘেরাও কর্মসূচি পালন করবেন
তার পরও মুখটা শুকনো দেখাচ্ছে? পরে নিন নাকফুল,তার পরও মুখটা শুকনো দেখাচ্ছে? পরে নিন নাকফুল
অথচ আমরা অনেক আগে এমপিওভুক্তির প্রাতিষ্ঠানিক যোগ্যতা অর্জন করেছি,অথচ আমরা অনেক আগে এমপিওভুক্তির প্রাতিষ্ঠানিক যোগ্যতা অর্জন করেছি
নিম্নবিত্তদের প্রতি অবিচারের আরেকটি সুস্পষ্ট উদাহরণ হলো করমুক্ত আয়সীমা আড়াই লাখ টাকাই রাখা,নিম্নবিত্তদের প্রতি অবিচারের আরেকটি সুস্পষ্ট উদাহরণ হলো করমুক্ত আয়সীমা আড়াই লাখ টাকাই রাখা
আরেকটি ভালো হাসপাতাল হচ্ছে ঢাকা মানসিক স্বাস্থ্য ইনস্টিটিউট,আরেকটি ভালো হাসপাতাল হচ্ছে ঢাকা মানসিক স্বাস্থ্য ইনস্টিটিউট
