correct_sentence,matched_token
"এ প্রসঙ্গে ঢাকা মেডিকেল কলেজ হাসপাতালের চর্ম ও যৌন বিভাগের বিভাগীয় প্রধান অধ্যাপক রাশেদ মো. খান বলেন, যাদের ওজন বেশি, ঘামে বেশি এবং স্বাস্থ্য ও পরিষ্কার-পরিচ্ছন্নতা সম্পর্কে ততটা সচেতন নয়, তাদেরই এই রোগগুলো বেশি হতে দেখা যায়।",মেডিকেল
"অধ্যাপক আইনুন নিশাত, বাংলাদেশ জ্ঞান ও সৃজনশীল সমিতির সভাপতি ওসমান গনি প্রমুখ প্রকাশনা অনুষ্ঠানে উপস্থিত ছিলেন।",ও
খবর পেয়ে গুরুদাসপুর ফায়ার সার্ভিসের কর্মীরা ও স্থানীয় লোকজন প্রায় দেড় ঘণ্টা চেষ্টা চালিয়ে আগুন নিয়ন্ত্রণে আনেন।,ফায়ার
শেষ সময়ে টুপ করে সূর্য ডুবে যাওয়ায় এ যাত্রা সামনে থেকেই দেখতে হলো লাল কেল্লা।,শেষ
"সাহ্‌রিতে সঠিক খাবারওজন বেড়ে যাবে, এই ভয়ে অনেকে যেমন সাহ্‌রি খেতে চান না, তেমনি অনেকে আবার তাড়াতাড়ি খিদে লেগে যাবে, এই ভয়ে সাহ্‌রিতে অনেক বেশি পরিমাণ খেয়ে ফেলেন।",না
"তিনি আশা করেন, আগামী দিনগুলোতে সাংবাদিকদের শুনানির সময় উপস্থিত থাকতে দেওয়া হবে।",সময়
তখন তাঁকে গ্রেপ্তার করে ঢাকা মেডিকেল কলেজ হাসপাতালে ভর্তি করা হয়।,মেডিকেল
"ব্যাটিং, বোলিং, ফিল্ডিং—সব দিক দিয়েই দক্ষিণ আফ্রিকা ভারসাম্যপূর্ণ এক দল।",আফ্রিকা
আগে ছবি প্রতি ১২ থেকে ১৪ লাখ টাকা পারিশ্রমিক নিলেও ইদানীং সে অঙ্কটায় ভাটা পড়েছে।,আগে
এই ছয় মাস কে ফিরিয়ে দেবে আমাকে।,মাস
লম্বা সময় ধরে গান ও অভিনয় থেকে দূরে আছেন একসময়ের আলোচিত শিশুশিল্পী মীম।,সময়
"এই সাতজন হলেন এক গাড়িতে থাকা কাউন্সিলর নজরুল ইসলাম, তঁার সঙ্গী তাজুল ইসলাম, মনিরুজ্জামান ওরফে স্বপন, লিটন ও তঁার গাড়িচালক জাহাঙ্গীর আলম এবং আরেকটি গাড়িতে থাকা আইনজীবী চন্দন সরকার ও তঁার গাড়িচালক ইব্রাহিম।",ও
গাড়িটি ঠিক করে ফেরার পথে সন্ধ্যা সোয়া ছয়টার দিকে থানার সামনে থেকে আবার আটক করে গাড়িটি থানার ভেতরে নিয়ে যায় পুলিশ।,যায়
"স্যামসাং ১৬ এক্স ১,৭০০ ও ২৪ এক্স ১,৬৫০ টাকা।",এক্স
"র্যাব-৭ চট্টগ্রামের সহকারী পরিচালক সোহেল মাহমুদ জানান, গত ফেব্রুয়ারি মাসে বাঁশখালী থানায় করা সন্ত্রাসবিরোধী আইনের মামলায় তিন আইনজীবীকে গ্রেপ্তার দেখিয়ে সাত দিনের রিমান্ডের আবেদন করা হয়।",গত
পল্লবীতে মাদক ব্যবসায়ী শাহজাদা ও তাঁর স্ত্রী মোসাম্মৎ চান্দার বাড়িতে অভিযান চালিয়ে ৫ হাজার ইয়াবা ট্যাবলেট উদ্ধার করলেও তিনি ৭৫ পিস জব্দ দেখান।,ও
"এত বড় ডাকাতির কারণে কেবল অমূল্য গ্যাস সম্পদের অপব্যবহারই হচ্ছে না, বিরাট অঞ্চলের মানুষ পড়েছে দুর্ঘটনার ঝুঁকিতে।",এত
কিন্তু পিভারের নেতৃত্বাধীন বোর্ড সেই দাবিতে কান দেয়নি।,বোর্ড
"তিনজনের প্রার্থিতা বৈধ: নির্বাচন কমিশন সচিবালয় সূত্র জানায়, হাইকোর্টের অবকাশকালীন বেঞ্চ ২৬ ডিসেম্বর তিনজন প্রার্থীর মনোনয়নপত্র বৈধ ঘোষণা করেছেন।",কমিশন
"সুপ্রভাত, ভিক্টর ও গ্রিন ঢাকা নামের বেসরকারি গণপরিবহনগুলোই ছিল যাত্রীদের ভরসা।",ও
ঈদের আগে ছেলেদের পাঞ্জাবিতেও এমন নকশা দেখা যাবে।,আগে
সেই স্মৃতি তাজা থাকতে থাকতে অবসরের ঘোষণাও দিয়ে দিলেন মালিক।,সেই
রংপুর সিটি করপোরেশনের সাবেক মেয়র মুক্তিযোদ্ধা সরফুদ্দীন আহমেদ ঝন্টু মারা গেছেন (ইন্না লিল্লাহি ওয়া ইন্না ইলাইহি রাজিউন)।,সিটি
"তারেক আকবর খোন্দকার বলেন, ইয়ুথ ভয়েস লিডারশিপ ও সচেতনতা দুটি লক্ষ্য নিয়ে কাজ করছে।",ও
দুপুর সোয়া ১২টার দিকে প্রধানমন্ত্রী তাঁর বেয়াই এলজিআরডি ও সমবায়মন্ত্রী খন্দকার মোশাররফ হোসেনের বদরপুরের বাড়ি আফসানা মঞ্জিলে যান।,ও
