correct_sentence,gt,sentence,correction
"ওয়ানডেতে ৫২.৯৩ গড়ের কোহলির টি-টোয়েন্টি গড় ৫৭.১৩ ! অবশ্য ব্যাটিং গড় অনেক পরের বিষয় , কোহলির ব্যাটিংয়ের সৌন্দর্য বুঝতে রসকষহীন পরিসংখ্যানের কাছে হাত পাততে হয় না।","ওয়ানডেতে ৫২.৯৩ গড়ের কোহলির টি-টোয়েন্টি গড় ৫৭.১৩ ! অবশ্য ব্যাটিং গড় অনেক পরের বিষয় , কোহলির ব্যাটিংয়ের সৌন্দর্য বুঝতে রসকষহীন পরিসংখ্যানের কাছে হাত পাততে হয় $ণা$।","ওয়ানডেতে ৫২.৯৩ গড়ের কোহলির টি-টোয়েন্টি গড় ৫৭.১৩ ! অবশ্য ব্যাটিং গড় অনেক পরের বিষয় , কোহলির ব্যাটিংয়ের সৌন্দর্য বুঝতে রসকষহীন পরিসংখ্যানের কাছে হাত পাততে হয় ণা।","[((156, 157), 'না')]"
গত দুই বছর ধরে ইউনিয়নের মানুষের খেদমত করে যাচ্ছি।,গত দুই বছর ধরে ইউনিয়নের মানুষের খেদমত করে যাচ্ছি।,গত দুই বছর ধরে ইউনিয়নের মানুষের খেদমত করে যাচ্ছি।,[]
"সামাজিক প্রতিরোধ কমিটি : বর্ষবরণ অনুষ্ঠানে নারীদের ওপর হামলাকারী ও লাঞ্ছনাকারীদের গ্রেপ্তারের দাবিতে ছাত্রছাত্রীদের কর্মসূচিতে পুলিশি হামলার প্রতিবাদে মানববন্ধন , বেলা তিনটায় , জাতীয় প্রেসক্লাবের সামনে।","সামাজিক প্রতিরোধ $কমীতি$ : বর্ষবরণ অনুষ্ঠানে নারীদের ওপর হামলাকারী ও লাঞ্ছনাকারীদের গ্রেপ্তারের দাবিতে ছাত্রছাত্রীদের কর্মসূচিতে পুলিশি হামলার প্রতিবাদে মানববন্ধন , বেলা তিনটায় , জাতীয় প্রেসক্লাবের সামনে।","সামাজিক প্রতিরোধ কমীতি : বর্ষবরণ অনুষ্ঠানে নারীদের ওপর হামলাকারী ও লাঞ্ছনাকারীদের গ্রেপ্তারের দাবিতে ছাত্রছাত্রীদের কর্মসূচিতে পুলিশি হামলার প্রতিবাদে মানববন্ধন , বেলা তিনটায় , জাতীয় প্রেসক্লাবের সামনে।","[((18, 22), 'কমিটি')]"
আঁটসাঁট ও সাদা-কালো রঙের পোশাক এই সময়ের জন্য নয়।,আঁটসাঁট ও সাদা-কালো রঙের পোশাক এই সময়ের জন্য নয়।,আঁটসাঁট ও সাদা-কালো রঙের পোশাক এই সময়ের জন্য নয়।,[]
এতে বাসটি উল্টে গিয়ে এ হতাহতের ঘটনা ঘটে।,এতে বাসটি উল্টে গিয়ে এ হতাহতের ঘটনা ঘটে।,এতে বাসটি উল্টে গিয়ে এ হতাহতের ঘটনা ঘটে।,[]
গত ১১ জুলাই পশ্চিমবঙ্গের উত্তর ২৪ পরগনা জেলার গাইঘাটা থানার আংরাইলের ক্ষেতপাড়া সীমান্ত পেরিয়ে বাংলাদেশে ঢোকার সময় বিএসএফের হাতে গ্রেপ্তার হয় পুত্রসহ ৩০ বছর বয়সী ওই নারী।,গত ১১ $জূলাই$ পশ্চিমবঙ্গের উত্তর ২৪ পরগনা জেলার গাইঘাটা থানার আংরাইলের ক্ষেতপাড়া সীমান্ত পেরিয়ে বাংলাদেশে ঢোকার সময় বিএসএফের হাতে গ্রেপ্তার হয় পুত্রসহ ৩০ বছর বয়সী ওই নারী।,গত ১১ জূলাই পশ্চিমবঙ্গের উত্তর ২৪ পরগনা জেলার গাইঘাটা থানার আংরাইলের ক্ষেতপাড়া সীমান্ত পেরিয়ে বাংলাদেশে ঢোকার সময় বিএসএফের হাতে গ্রেপ্তার হয় পুত্রসহ ৩০ বছর বয়সী ওই নারী।,"[((6, 10), 'জুলাই')]"
হয়তো একটি ফোল্ডার তৈরি করে সংগীতবিষয়ক সব অ্যাপ সে ফোল্ডারে রাখলেন।,হয়তো একটি ফোল্ডার তৈরি করে সংগীতবিষয়ক সব অ্যাপ সে ফোল্ডারে রাখলেন।,হয়তো একটি ফোল্ডার তৈরি করে সংগীতবিষয়ক সব অ্যাপ সে ফোল্ডারে রাখলেন।,[]
"যত দিন বাংলা সাংবাদিকতা থাকবে , তত দিন তাঁর নাম উচ্চারিত হবে।","$জত$ দিন বাংলা সাংবাদিকতা থাকবে , তত দিন তাঁর নাম উচ্চারিত হবে।","জত দিন বাংলা সাংবাদিকতা থাকবে , তত দিন তাঁর নাম উচ্চারিত হবে।","[((0, 1), 'যত')]"
ময়মনসিংহ সিটি করপোরেশন নির্বাচনে মেয়র পদে আওয়ামী লীগের প্রার্থী মো . ইকরামুল হক বিনা প্রতিদ্বন্দ্বিতায় নির্বাচিত হওয়ার পথে।,ময়মনসিংহ $সীতি$ করপোরেশন নির্বাচনে মেয়র পদে আওয়ামী লীগের প্রার্থী মো . ইকরামুল হক বিনা প্রতিদ্বন্দ্বিতায় নির্বাচিত হওয়ার পথে।,ময়মনসিংহ সীতি করপোরেশন নির্বাচনে মেয়র পদে আওয়ামী লীগের প্রার্থী মো . ইকরামুল হক বিনা প্রতিদ্বন্দ্বিতায় নির্বাচিত হওয়ার পথে।,"[((9, 12), 'সিটি')]"
"কিন্তু আফগান অধিনায়কের বোকামি , স্বার্থপরতা যাই বলুন না কেন সেসবের এখানেই শেষ নয়।","কিন্তু আফগান অধিনায়কের বোকামি , স্বার্থপরতা যাই বলুন না কেন সেসবের এখানেই $সেষ$ নয়।","কিন্তু আফগান অধিনায়কের বোকামি , স্বার্থপরতা যাই বলুন না কেন সেসবের এখানেই সেষ নয়।","[((74, 76), 'শেষ')]"
ব্রাহ্মণবাড়িয়া সদর উপজেলায় লুৎফা বেগম ( ২১ ) নামের এক নববধূর ঝুলন্ত লাশ উদ্ধার করা হয়েছে।,ব্রাহ্মণবাড়িয়া সদর উপজেলায় লুৎফা বেগম ( ২১ ) নামের এক নববধূর ঝুলন্ত লাশ উদ্ধার করা হয়েছে।,ব্রাহ্মণবাড়িয়া সদর উপজেলায় লুৎফা বেগম ( ২১ ) নামের এক নববধূর ঝুলন্ত লাশ উদ্ধার করা হয়েছে।,[]
এথিকস অ্যাডভান্সড টেকনোলজিস লিমিটেড ( ইএটিএল ) ও প্রথম আলোর আয়োজনে গত বছরের জুলাই মাস থেকে শুরু হয়েছে এই প্রতিযোগিতা।,এথিকস অ্যাডভান্সড টেকনোলজিস লিমিটেড ( ইএটিএল ) ও প্রথম আলোর আয়োজনে গত বছরের $জূলাঈ$ মাস থেকে শুরু হয়েছে এই প্রতিযোগিতা।,এথিকস অ্যাডভান্সড টেকনোলজিস লিমিটেড ( ইএটিএল ) ও প্রথম আলোর আয়োজনে গত বছরের জূলাঈ মাস থেকে শুরু হয়েছে এই প্রতিযোগিতা।,"[((77, 81), 'জুলাই')]"
দাবি আদায়ে আগামী ১১ অক্টোবর সচিবালয় ঘেরাও কর্মসূচি পালন করবেন।,দাবি আদায়ে আগামী ১১ $ওক্টোবর$ সচিবালয় ঘেরাও কর্মসূচি পালন করবেন।,দাবি আদায়ে আগামী ১১ ওক্টোবর সচিবালয় ঘেরাও কর্মসূচি পালন করবেন।,"[((20, 26), 'অক্টোবর')]"
অথচ আমরা অনেক আগে এমপিওভুক্তির প্রাতিষ্ঠানিক যোগ্যতা অর্জন করেছি।,অথচ আমরা অনেক আগে এমপিওভুক্তির প্রাতিষ্ঠানিক যোগ্যতা অর্জন করেছি।,অথচ আমরা অনেক আগে এমপিওভুক্তির প্রাতিষ্ঠানিক যোগ্যতা অর্জন করেছি।,[]
আরেকটি ভালো হাসপাতাল হচ্ছে ঢাকা মানসিক স্বাস্থ্য ইনস্টিটিউট।,আরেকটি ভালো হাসপাতাল হচ্ছে ঢাকা মানসিক স্বাস্থ্য ইনস্টিটিউট।,আরেকটি ভালো হাসপাতাল হচ্ছে ঢাকা মানসিক স্বাস্থ্য ইনস্টিটিউট।,[]
এ ছাড়া সমর্থকদের জন্য রাখা হয়েছে বিশ্বকাপের ট্রফি জয়ের ইভেন্ট।,এ ছাড়া সমর্থকদের জন্য রাখা হয়েছে বিশ্বকাপের ট্রফি জয়ের ইভেন্ট।,এ ছাড়া সমর্থকদের জন্য রাখা হয়েছে বিশ্বকাপের ট্রফি জয়ের ইভেন্ট।,[]
"ইন্দোনেশিয়ার রেডক্রসের মুখপাত্র অলিয়া আরিয়ানি বার্তা সংস্থা রয়টার্সকে বলেন , ওই শিশুরা বাইবেল ক্যাম্পে যোগ দিয়েছিল।","ইন্দোনেশিয়ার রেডক্রসের মুখপাত্র অলিয়া আরিয়ানি বার্তা সংস্থা রয়টার্সকে বলেন , ওই শিশুরা বাইবেল ক্যাম্পে $জোগ$ দিয়েছিল।","ইন্দোনেশিয়ার রেডক্রসের মুখপাত্র অলিয়া আরিয়ানি বার্তা সংস্থা রয়টার্সকে বলেন , ওই শিশুরা বাইবেল ক্যাম্পে জোগ দিয়েছিল।","[((103, 105), 'যোগ')]"
সে চলে যায় নিজ মাতৃভূমি থেকে অনেক দূরে।,সে চলে $জায়$ নিজ মাতৃভূমি থেকে অনেক দূরে।,সে চলে জায় নিজ মাতৃভূমি থেকে অনেক দূরে।,"[((7, 9), 'যায়')]"
"প্রত্যক্ষদর্শী ও নিহত আনিসুরের পারিবারিক সূত্র জানায় , তিনি সকালে দুই সন্তান আনিতা ও অনিককে ইকবাল রোডের একটি কিন্ডারগার্টেনে পৌঁছে দিয়ে হেঁটে বাসায় ফিরছিলেন।","প্রত্যক্ষদর্শী ও নিহত আনিসুরের পারিবারিক সূত্র জানায় , তিনি সকালে দুই সন্তান আনিতা ও অনিককে ইকবাল রোডের একটি কিন্ডারগার্টেনে পৌঁছে দিয়ে হেঁটে বাসায় ফিরছিলেন।","প্রত্যক্ষদর্শী ও নিহত আনিসুরের পারিবারিক সূত্র জানায় , তিনি সকালে দুই সন্তান আনিতা ও অনিককে ইকবাল রোডের একটি কিন্ডারগার্টেনে পৌঁছে দিয়ে হেঁটে বাসায় ফিরছিলেন।",[]
"খোঁজ নিয়ে জানা গেছে , আয়োজনটি হবে স্কুলপর্যায়ে ও দিনব্যাপী।","খোঁজ নিয়ে জানা গেছে , আয়োজনটি হবে স্কুলপর্যায়ে ও দিনব্যাপী।","খোঁজ নিয়ে জানা গেছে , আয়োজনটি হবে স্কুলপর্যায়ে ও দিনব্যাপী।",[]
এরপর বিকেল পাঁচটায় নিবন্ধিত প্রাক্তন শিক্ষার্থীদের অভ্যর্থনা দেওয়া হবে নগরের জিইসি কনভেনশন সেন্টারে।,এরপর বিকেল পাঁচটায় নিবন্ধিত প্রাক্তন শিক্ষার্থীদের অভ্যর্থনা দেওয়া হবে নগরের জিইসি কনভেনশন $সেণ্তারে$।,এরপর বিকেল পাঁচটায় নিবন্ধিত প্রাক্তন শিক্ষার্থীদের অভ্যর্থনা দেওয়া হবে নগরের জিইসি কনভেনশন সেণ্তারে।,"[((91, 98), 'সেন্টারে')]"
কিন্তু ঠিকাদারি প্রতিষ্ঠান তাদের কাজে গড়িমসি করছে বলে সিটি করপোরেশনের নির্বাহী প্রকৌশলী আজম আলী গতকাল শনিবার মুঠোফোনে প্রথম আলোকে জানিয়েছেন।,কিন্তু ঠিকাদারি প্রতিষ্ঠান তাদের কাজে গড়িমসি করছে বলে $সীটি$ করপোরেশনের নির্বাহী প্রকৌশলী আজম আলী গতকাল শনিবার মুঠোফোনে প্রথম আলোকে জানিয়েছেন।,কিন্তু ঠিকাদারি প্রতিষ্ঠান তাদের কাজে গড়িমসি করছে বলে সীটি করপোরেশনের নির্বাহী প্রকৌশলী আজম আলী গতকাল শনিবার মুঠোফোনে প্রথম আলোকে জানিয়েছেন।,"[((54, 57), 'সিটি')]"
"এ ছাড়া তিনি অবৈধ অভিবাসীদের বহিষ্কারের অঙ্গীকার করেছেন , ওবামা প্রায় সাড়ে সাত লাখ বৈধ কাগজপত্রবিহীন অভিবাসীর স্বল্পকালীন স্বস্তির যে ব্যবস্থা করেছিলেন , নির্বাহী আদেশের মাধ্যমে তাও বাতিল করার ক্ষমতা রয়েছে তাঁর।","এ ছাড়া তিনি অবৈধ অভিবাসীদের বহিষ্কারের অঙ্গীকার করেছেন , ওবামা প্রায় সাড়ে সাত লাখ বৈধ কাগজপত্রবিহীন অভিবাসীর স্বল্পকালীন স্বস্তির $জে$ ব্যবস্থা করেছিলেন , নির্বাহী আদেশের মাধ্যমে তাও বাতিল করার ক্ষমতা রয়েছে তাঁর।","এ ছাড়া তিনি অবৈধ অভিবাসীদের বহিষ্কারের অঙ্গীকার করেছেন , ওবামা প্রায় সাড়ে সাত লাখ বৈধ কাগজপত্রবিহীন অভিবাসীর স্বল্পকালীন স্বস্তির জে ব্যবস্থা করেছিলেন , নির্বাহী আদেশের মাধ্যমে তাও বাতিল করার ক্ষমতা রয়েছে তাঁর।","[((130, 131), 'যে')]"
সকাল সাড়ে আটটার দিকে শেষ হয় এ জানাজা।,সকাল সাড়ে আটটার দিকে $ষেষ$ হয় এ জানাজা।,সকাল সাড়ে আটটার দিকে ষেষ হয় এ জানাজা।,"[((21, 23), 'শেষ')]"
অনুষ্ঠানে চিত্রনায়ক ফেরদৌস ও অভিনয়শিল্পী নাবিলাকে পরবর্তী সময়ে পুরো অনুষ্ঠানটি পরিচালনার জন্য তাঁদের হাতে মাইক তুলে দেওয়া হয়।,অনুষ্ঠানে চিত্রনায়ক ফেরদৌস ও অভিনয়শিল্পী নাবিলাকে পরবর্তী সময়ে পুরো অনুষ্ঠানটি পরিচালনার জন্য তাঁদের হাতে মাইক তুলে দেওয়া হয়।,অনুষ্ঠানে চিত্রনায়ক ফেরদৌস ও অভিনয়শিল্পী নাবিলাকে পরবর্তী সময়ে পুরো অনুষ্ঠানটি পরিচালনার জন্য তাঁদের হাতে মাইক তুলে দেওয়া হয়।,[]
"ফরিদউদ্দিনের সঙ্গে বন্ধুত্বের বিষয়ে জানতে চাইলে আতাউর রহমান গতকাল রাতে প্রথম আলোকে বলেন , ‘ বন্ধুত্ব ঠিক আছে।","ফরিদউদ্দিনের সঙ্গে বন্ধুত্বের বিষয়ে জানতে চাইলে আতাউর রহমান গতকাল রাতে প্রথম আলোকে বলেন , ‘ বন্ধুত্ব ঠিক আছে।","ফরিদউদ্দিনের সঙ্গে বন্ধুত্বের বিষয়ে জানতে চাইলে আতাউর রহমান গতকাল রাতে প্রথম আলোকে বলেন , ‘ বন্ধুত্ব ঠিক আছে।",[]
এর মধ্যে বিজনেস ক্লাস ২৪টি আর ২৪৭টি ইকোনমি ক্লাস।,এর মধ্যে বিজনেস ক্লাস ২৪টি আর ২৪৭টি ইকোনমি ক্লাস।,এর মধ্যে বিজনেস ক্লাস ২৪টি আর ২৪৭টি ইকোনমি ক্লাস।,[]
আমি এ বছর এসএসসি পাস করেছি।,আমি এ বছর এসএসসি পাস করেছি।,আমি এ বছর এসএসসি পাস করেছি।,[]
২০০৯ সালে সাবেক মেয়র শওকত হোসেন সিটি বাস চালু করেছিলেন।,২০০৯ সালে সাবেক মেয়র শওকত হোসেন সিটি বাস চালু করেছিলেন।,২০০৯ সালে সাবেক মেয়র শওকত হোসেন সিটি বাস চালু করেছিলেন।,[]
বেলালের নেতৃত্বে ১০-১২ জন সন্ত্রাসী রড-লাঠি দিয়ে বিদ্যালয়ের অফিসরুমে সহকারী প্রধান শিক্ষককে বেধড়ক পিটিয়ে ফেলে যায়।,বেলালের নেতৃত্বে ১০-১২ জন সন্ত্রাসী রড-লাঠি দিয়ে বিদ্যালয়ের অফিসরুমে সহকারী প্রধান শিক্ষককে বেধড়ক পিটিয়ে ফেলে $জায়$।,বেলালের নেতৃত্বে ১০-১২ জন সন্ত্রাসী রড-লাঠি দিয়ে বিদ্যালয়ের অফিসরুমে সহকারী প্রধান শিক্ষককে বেধড়ক পিটিয়ে ফেলে জায়।,"[((110, 112), 'যায়')]"
