sentence,gt,text,spans,count_ignore,same,distance
সংবাদপত্রে চাকরি করলেও কোনও মালিকানাগোষ্ঠীর কাছে মাথা নিচু করেন নি।,সংবাদপত্রে চাকরি করলেও$ কোন$ও মালিকানাগোষ্ঠীর কাছে মাথা নিচু করেন নি।,সংবাদপত্রে চাকরি করলেও কোনও মালিকানাগোষ্ঠীর কাছে মাথা নিচু করেন নি।,"[22, 23, 24, 25]",0,False,2
আমার ভূতের ভয়ও দূর হয়ে গেলো।,আমার ভূতের ভয়ও দূর হয়ে $গেলো$।,আমার ভূতের ভয়ও দূর হয়ে গেলো।,"[23, 24, 25, 26, 27]",0,False,2
তোমার বোন অন্তঃসত্ত্বা।,তোমার বোন অন্তঃসত্ত্বা।,তোমার বোন অন্তঃসত্ত্বা।,[],0,True,0
জ্যোতিবাবু হতদরিদ্রের মধ্যে পড়েন না।,জ্যোতিবাবু হতদরিদ্রের মধ্যে পড়েন না।,জ্যোতিবাবু হতদরিদ্রের মধ্যে পড়েন না।,[],0,True,0
"এটি ভ্যাটেনফল ইউরোপ দ্বারা পরিচালিত হয়, যেটি ভ্যাটেনফলের একটি উপবিভাগ।","এটি ভ্যাটেনফল ইউরোপ দ্বারা পরিচালিত হয়, যেটি ভ্যাটেনফলের একটি উপবিভাগ।","এটি ভ্যাটেনফল ইউরোপ দ্বারা পরিচালিত হয়, যেটি ভ্যাটেনফলের একটি উপবিভাগ।",[],0,True,0
আর বাস্তবিকই সেদিন পতাকা উঠানো হয়নি।,আর বাস্তবিকই সেদিন পতাকা উঠানো হয়নি।,আর বাস্তবিকই সেদিন পতাকা উঠানো হয়নি।,[],0,True,0
এ অনুষ্ঠানকে বলা হয় ‘পাঁচটি’ বা ‘পাঁচ উঠানি’।,এ অনুষ্ঠানকে বলা হয় ‘পাঁচটি’ বা ‘পাঁচ উঠানি’।,এ অনুষ্ঠানকে বলা হয় ‘পাঁচটি’ বা ‘পাঁচ উঠানি’।,[],0,True,0
সালাউদ্দিন তত কষ্ট পায় না।,সালাউদ্দিন তত কষ্ট পায় না।,সালাউদ্দিন তত কষ্ট পায় না।,[],0,True,0
"আমি কিছু না ভেবে এদিক ওদিক একটু তাকিয়ে বললাম, আন্টি কাঁদছেন কেনো?","আমি কিছু না ভেবে এদিক ওদিক একটু তাকিয়ে বললাম, আন্টি কাঁদছেন $কেনো$?","আমি কিছু না ভেবে এদিক ওদিক একটু তাকিয়ে বললাম, আন্টি কাঁদছেন কেনো?","[60, 61, 62, 63]",0,False,2
ভোগান্তি পোহাতে হয়েছে চট্টগ্রাম বিশ্ববিদ্যালয়ে ভর্তি পরীক্ষায় অংশ নিতে যাওয়া শিক্ষার্থীদেরও।,ভোগান্তি পোহাতে হয়েছে চট্টগ্রাম বিশ্ববিদ্যালয়ে ভর্তি পরীক্ষায় অংশ নিতে যাওয়া শিক্ষার্থীদেরও।,ভোগান্তি পোহাতে হয়েছে চট্টগ্রাম বিশ্ববিদ্যালয়ে ভর্তি পরীক্ষায় অংশ নিতে যাওয়া শিক্ষার্থীদেরও।,[],0,True,0
এমনই ক্ষেপে উঠার কথাই ফুটে উঠেছে কবি চন্দন চৌধুরীর কবিতায়: খুন করার পর থেকেই নিজেকে বেশ পুণ্যবান মনে হচ্ছে খুনেও এতো আনন্দ!,এমনই ক্ষেপে উঠার কথাই ফুটে উঠেছে কবি চন্দন চৌধুরীর কবিতায়$:$ খুন করার পর থেকেই নিজেকে বেশ পুণ্যবান মনে হচ্ছে খুনেও এতো আনন্দ!,এমনই ক্ষেপে উঠার কথাই ফুটে উঠেছে কবি চন্দন চৌধুরীর কবিতায়: খুন করার পর থেকেই নিজেকে বেশ পুণ্যবান মনে হচ্ছে খুনেও এতো আনন্দ!,[57],0,False,2
থাকলেও যে বিশেষ সুবিধে হতো তা নিশ্চিত করে বলা যায় না।,থাকলেও যে বিশেষ $সুবিধে$ হতো তা নিশ্চিত করে বলা যায় না।,থাকলেও যে বিশেষ সুবিধে হতো তা নিশ্চিত করে বলা যায় না।,"[16, 17, 18, 19, 20, 21]",0,False,2
তার প্রথম লেখা ছাপা হয় মাস পয়লা শিশু মাসিকে।,তার প্রথম লেখা ছাপা হয় মাস পয়লা শিশু মাসিকে।,তার প্রথম লেখা ছাপা হয় মাস পয়লা শিশু মাসিকে।,[],0,True,0
আমার অপেক্ষায় বসে থাকবেন না।,আমার অপেক্ষায় বসে থাকবেন না।,আমার অপেক্ষায় বসে থাকবেন না।,[],0,True,0
তার পাশাপাশি স্বপ্নের মালিককেও ধন্যবাদ,তার পাশাপাশি স্বপ্নের মালিককেও ধন্যবাদ$$,তার পাশাপাশি স্বপ্নের মালিককেও ধন্যবাদ,[],1,False,2
তারপর তার গাড়িতে করে বাসার সামনে নামিয়ে দিল।,তারপর তার গাড়িতে করে বাসার সামনে নামিয়ে দিল।,তারপর তার গাড়িতে করে বাসার সামনে নামিয়ে দিল।,[],0,True,0
এগুলো সম্পাদনের জন্য কুবোতা কার্ডওয়েলকে ধীরে ধীরে প্রশিক্ষণ দিতে থাকেন।,এগুলো সম্পাদনের জন্য কুবোতা কার্ডওয়েলকে ধীরে ধীরে প্রশিক্ষণ দিতে থাকেন।,এগুলো সম্পাদনের জন্য কুবোতা কার্ডওয়েলকে ধীরে ধীরে প্রশিক্ষণ দিতে থাকেন।,[],0,True,0
"এখানে পরিচালক যদি সেটা দেখায়, তাহলে পরিবারের আপত্তি থাকাটাই স্বাভাবিক।","এখানে পরিচালক যদি সেটা দেখায়, তাহলে পরিবারের আপত্তি থাকাটাই স্বাভাবিক।","এখানে পরিচালক যদি সেটা দেখায়, তাহলে পরিবারের আপত্তি থাকাটাই স্বাভাবিক।",[],0,True,0
"মারিয়াকে পাওয়ার আগে, হয়তো আমি বলতাম দুটো ভিন্ন।","মারিয়াকে পাওয়ার আগে$,$ হয়তো আমি বলতাম দুটো ভিন্ন।","মারিয়াকে পাওয়ার আগে, হয়তো আমি বলতাম দুটো ভিন্ন।",[19],0,False,2
আমি বললাম “উপরে লোক আছে তারা দেবে।,আমি বললাম$$ $“$উপরে লোক আছে তারা দেবে।,আমি বললাম “উপরে লোক আছে তারা দেবে।,[10],1,False,4
প্রার্থনার ভাষা ফরাসি।,প্রার্থনার ভাষা ফরাসি।,প্রার্থনার ভাষা ফরাসি।,[],0,True,0
যদিও সরকার তদন্ত করেও কিছু পায়নি।,যদিও সরকার তদন্ত করেও কিছু পায়নি।,যদিও সরকার তদন্ত করেও কিছু পায়নি।,[],0,True,0
বিজেপির বেলায় ইশতেহার প্রকাশনার অস্বাভাবিক বিলম্বে নির্বাচন কমিশন কেবল ভ্রুকুটি করতে পারে।,বিজেপির বেলায় ইশতেহার প্রকাশনার অস্বাভাবিক বিলম্বে নির্বাচন কমিশন কেবল ভ্রুকুটি করতে পারে।,বিজেপির বেলায় ইশতেহার প্রকাশনার অস্বাভাবিক বিলম্বে নির্বাচন কমিশন কেবল ভ্রুকুটি করতে পারে।,[],0,True,0
ফলে আমাদের বানানের ভুলটা কমে যাবে।,ফলে আমাদের বানানের ভুলটা কমে যাবে।,ফলে আমাদের বানানের ভুলটা কমে যাবে।,[],0,True,0
