sentence,gt
ফলে শত শত আদিবাসী ও বাঙালি পরিবার ক্ষতিগ্রস্ত হয়।,ফলে শত শত আদিবাসী ও বাঙালি পরিবার ক্ষতিগ্রস্ত হয়।
আজ বিপরীত স্রোত বইছে ভেতরে।,আজ বিপরীত স্রোত বইছে ভেতরে।
"কিন্তু এই সম্পর্ক যেমন বাবা মা, ভাই বোন,স্বামী স্ত্রী সব আছে কিন্তু তারপর ও অনেক কিছুই নেই।","কিন্তু এই সম্পর্ক যেমন বাবা মা, ভাই বোন,স্বামী স্ত্রী সব আছে কিন্তু $তারপর ও$ অনেক কিছুই নেই।"
তিনি সতীদাহ প্রথার বিরুদ্ধে এবং বিধবা-বিবাহের পক্ষে লেখালেখি করেছিলেন।,তিনি সতীদাহ প্রথার বিরুদ্ধে এবং বিধবা-বিবাহের পক্ষে $লেখালেখি$ করেছিলেন।
"হ্যাঁ, সে বলল।","হ্যাঁ, সে $বলল$।"
সবাই তাকে খোঁজা শুরু করল।,সবাই তাকে খোঁজা শুরু $করল$।
"প্রিয়বড়েষু,বড়রা যে বড়ই হয়, আপনারা আবার তার প্রমাণ দেখালেন আজ।","$প্রিয়বড়েষু$$,বড়রা$ যে বড়ই হয়, আপনারা আবার তার প্রমাণ দেখালেন আজ।"
তোমাদের মধ্যে সেই লোকটি যে কে তাহা কেহ জানে না।,তোমাদের মধ্যে সেই লোকটি যে কে$$ $তাহা$ $কেহ$ জানে না।
আমি হেসে বললাম-আরে না।,আমি হেসে বললাম$-$$$আরে না।$$
যাহা হউক প্রবেশ করিলাম ভিতরে।,$যাহা$ $হউক$ প্রবেশ $করিলাম$ $ভিতরে$।
"এই অল্প সময়ে অন্যর দোষ না ধরে ক্ষমা করতে শিখি,যার সাথে যা সম্পরক তাদের মুল্যায়ন করি ।","এই অল্প সময়ে অন্যর দোষ না ধরে ক্ষমা করতে $শিখি,যার$ সাথে যা $সম্পরক$ তাদের $মুল্যায়ন$ করি$ ।$"
দুই/ আর্থসামাজিক ব্যাবস্থার মধ্যে রয়েছে বাধ্যতামূলক বহুমূখি গ্রাম-সমবায় প্রকল্প ।,$দুই/$ আর্থসামাজিক $ব্যাবস্থার$ মধ্যে রয়েছে বাধ্যতামূলক $বহুমূখি$ গ্রাম-সমবায় প্রকল্প$ ।$
ভাল ছবির জন্য এখানে ক্লিক করুন ভাল ছবির জন্য এ খানে ক্লিক করুন(চলবে ইনশা-আল্লাহ...) নিয়মিত আপডেট পেতে এই গ্রুপে যুক্ত থাকুন রব্বী যিদনী ইলমা Note: মানুষ মাত্রই ভুলের উর্দ্ধে নয়।,$ভাল$ ছবির জন্য এখানে ক্লিক করুন$$ $ভাল$ ছবির জন্য $এ খানে$ ক্লিক করুন$$(চলবে ইনশা-আল্লাহ$...$) নিয়মিত আপডেট পেতে এই গ্রুপে যুক্ত থাকুন$$ $রব্বী$ $যিদনী$ ইলমা $Note$$:$ মানুষ মাত্রই ভুলের $উর্দ্ধে$ নয়।
আমি হাতে নিয়ে দেখি পেন্সিলে লেখা তিনটি ছড়া।,আমি হাতে নিয়ে দেখি পেন্সিলে লেখা তিনটি ছড়া।
সো আপনার সাথে প্রেম করার সময় আপনি শিখিয়ে দিলেই হবে।,সো আপনার সাথে প্রেম করার সময় আপনি শিখিয়ে দিলেই হবে।
স্টারজন মাছ হলো স্বাদু পানি তে প্রাপ্ত সব চেয়ে বড় প্রজাতির মাছ।,স্টারজন মাছ হলো স্বাদু $পানি তে$ প্রাপ্ত সব চেয়ে বড় প্রজাতির মাছ।
এমন আচমকা পরিস্থিতিতে ছত্রভঙ্গ হয়ে পড়ে বিক্ষোভকারীরা।,এমন আচমকা পরিস্থিতিতে ছত্রভঙ্গ হয়ে পড়ে বিক্ষোভকারীরা।
চেয়ে দেখি পাশে উপরের বাংকের শ্বেতাংগ লোকটি শুয়ে শুয়ে চিয়াং মাই এর উপর লেখা একটি বই গভীর মনযোগ দিয়ে পড়ছে।,চেয়ে দেখি পাশে উপরের বাংকের শ্বেতাংগ লোকটি শুয়ে শুয়ে চিয়াং মাই এর উপর লেখা একটি বই গভীর মনযোগ দিয়ে পড়ছে।
আচ্ছা আপনি আমার নাম জানলেন কি করে?,আচ্ছা আপনি আমার নাম জানলেন $কি$ করে?
"তানিয়া বলল, অফিস থেকে ফেরার পথে লবন আর আলু নিয়ে এসো।","তানিয়া বলল, অফিস থেকে ফেরার পথে লবন আর আলু নিয়ে এসো।"
৩য় খণ্ড প্রকাশ হয় ১৮১৭ সালে।,৩য় খণ্ড প্রকাশ হয় ১৮১৭ সালে।
কিন্তু ঘোড়া দেখি নড়ে চড়েনা।,কিন্তু ঘোড়া দেখি নড়ে $চড়েনা$।
আপনার গার্লফ্রেড কি আপনার কথা শুনে মজা পায়?,আপনার গার্লফ্রেড কি আপনার কথা শুনে মজা পায়?
ভাগ্যচক্রে এখানেও সেই অতীত এসে হাজির।,ভাগ্যচক্রে এখানেও সেই অতীত এসে হাজির।
"সামনে এগিয়ে গেল, দূরে সরে যাচ্ছে আবছায়ার মানুষটা।","সামনে এগিয়ে গেল, দূরে সরে যাচ্ছে আবছায়ার মানুষটা।"
এরপর এমন একটি গল্প বা প্রশ্ন বা তথ্য বাছাই করুন যা আপনার প্রেজেন্টেশনের শুরুতে চমক হিসেবে থাকবে।,এরপর এমন একটি গল্প বা প্রশ্ন বা তথ্য বাছাই করুন যা আপনার প্রেজেন্টেশনের শুরুতে চমক হিসেবে থাকবে।
এই হল দুজনের খেলার ধরন।,এই হল দুজনের খেলার ধরন।
"তার এক ছেলে, এক মেয়ে।","তার এক ছেলে, এক মেয়ে।"
এর মধ্যেই একলোক ঘ্যান ঘ্যান শুরু করেছে।,এর মধ্যেই একলোক ঘ্যান ঘ্যান শুরু করেছে।
"প্রশ্ন করতে পারেন, কেন তিনি নিজের জীবনকে বিপন্ন করতে গেলেন?","প্রশ্ন করতে পারেন, কেন তিনি নিজের জীবনকে বিপন্ন করতে গেলেন?"
আর হ্যাঁ আমার হাই প্রেসার আছে সেটা যখন বেশি হাই হয় তখন সৈন্ধব লবণ খাই।,আর হ্যাঁ$$ আমার হাই প্রেসার আছে সেটা যখন বেশি হাই হয় তখন সৈন্ধব লবণ খাই।
"এভাবে আংটি দুই ধরনের প্রতীক বহন করে— ব্যক্তিগত পরিচয় (নামাঙ্কিত) বহন করা আংটি ও যৌনতার প্রতীক (বিয়ের আংটি), যৌনসঙ্গীর পরিচয় নিয়ে আংটি অনেক পুরাণেরও জন্ম দিয়েছে।","এভাবে আংটি দুই ধরনের প্রতীক বহন করে— ব্যক্তিগত পরিচয় (নামাঙ্কিত) বহন করা আংটি ও যৌনতার প্রতীক (বিয়ের আংটি), যৌনসঙ্গীর পরিচয় নিয়ে আংটি অনেক পুরাণেরও জন্ম দিয়েছে।"
"আবার এমন দৃশ্যও প্রায় সময় মসজিদগুলোতে চোখে পড়ে, শিশুদের নামাজের কাতার থেকে বের পেছনে পাঠিয়ে দেয়া হয়।","আবার এমন দৃশ্যও প্রায় সময় মসজিদগুলোতে চোখে পড়ে, শিশুদের নামাজের কাতার থেকে বের পেছনে পাঠিয়ে দেয়া হয়।"
এবং পানি বের হয়ে গেলে কিডনি চুপসে যায়।,এবং পানি বের হয়ে গেলে কিডনি চুপসে যায়।
আর অনুর কণ্ঠে সেই চিরবিদায়ের বলে পাওয়া চিরবিদায়ী বাচনের সুর।,আর অনুর কণ্ঠে সেই চিরবিদায়ের বলে পাওয়া চিরবিদায়ী বাচনের সুর।
