english,bangla,count,count_millions
new,নিউ,1551258643,1551
home,হোম,1276852170,1276
page,পেজ,1082121730,1082
search,সার্চ,1024093118,1024
free,ফ্রি,1014107316,1014
one,ওয়ান,993536631,993
information,ইনফরমেশন,932594387,932
time,টাইম,908705570,908
site,সাইট,844310242,844
may,মে,827822032,827
news,নিউস,755424983,755
use,উসে,719980257,719
see,সেই,681410380,681
contact,কন্টাক্ট,645824184,645
business,বিসনেস,637134177,637
web,ওয়েব,619571575,619
also,অল্সো,616829742,616
help,হেল্প,611054034,611
get,গেট,605984508,605
pm,পাম,604577485,604
view,ভিউ,602279334,602
online,অনলাইন,601317059,601
first,ফার্স্ট,578161543,578
would,বৌল্ড,572644147,572
services,সার্ভিসেস,562206804,562
click,ক্লিক,536746424,536
like,লাইক,520585287,520
service,সার্ভিস,519537222,519
x,এক্স,508609523,508
find,ফাইন্ড,502043038,502
price,প্রাইস,501651226,501
date,ডেট,488967374,488
back,ব্যাক,488024109,488
top,টপ,484213771,484
people,পিপল,480303376,480
list,লিস্ট,472590641,472
name,নাম,464532702,464
state,স্টেট,453104133,453
year,যার,451092583,451
day,ডে,446236148,446
email,ইমেইল,443949646,443
two,২টি,441398439,441
health,হেলথ,440416431,440
world,ওয়ার্ল্ড,431934249,431
next,নেক্সট,425903347,425
used,উজাড়,421438139,421
go,গো,421086358,421
b,বা,419765694,419
work,ওয়ার্ক,419483948,419
last,লাস্ট,417601616,417
products,প্রোডাক্টস,414377632,414
music,মাসিক,414028837,414
buy,বুয়া,410780176,410
data,ডাটা,406908328,406
make,মেক,405084642,405
product,প্রোডাক্ট,399116355,399
system,সিস্টেম,396975018,396
post,পোস্ট,392956436,392
city,সিটি,390564835,390
add,অ্যাড,387231739,387
policy,পলিসি,384401868,384
number,নম্বর,383787805,383
please,প্লিজ,380046348,380
available,অভায়লাবলে,379644437,379
copyright,কপিরাইট,373906735,373
support,সাপোর্ট,373512569,373
message,মেসেজ,373081242,373
best,বেস্ট,371852748,371
software,সফটওয়্যার,370517038,370
jan,যান,366436194,366
good,গুড,365796396,365
video,ভিডিও,365410017,365
well,ভাল,362082755,362
info,ইনফো,352363058,352
rights,রাইটস,352051342,352
public,পাবলিক,349286123,349
books,বুকস,347710184,347
high,হাই,345413157,345
school,স্কুল,343057316,343
links,লিংকস,339926541,339
review,রিভিউ,339067778,339
years,ইয়ার্স,337841309,337
order,অর্ডার,336631187,336
privacy,প্রাইভেসী,333272427,333
book,বুক,330959949,330
items,ইটেমস,330505325,330
company,কোম্পানি,324272258,324
read,রিড,322331766,322
group,গ্রুপ,321842984,321
sex,সেক্স,320105999,320
need,নিড,319376932,319
many,মেনি,318966441,318
user,ইউসার,316446229,316
said,সেড,315595259,315
de,দে,314593284,314
set,সেট,313469591,313
general,জেনারেল,311757793,311
research,রিসার্চ,311538382,311
university,ইউনিভার্সিটি,311373936,311
january,জানুয়ারী,310345867,310
mail,মেইল,310337185,310
full,ফুল,309929179,309
map,ম্যাপ,309676581,309
reviews,রেভিউস,307684103,307
program,প্রোগ্রাম,306686983,306
life,লাইফ,306559205,306
know,কনো,306100813,306
games,গেমস,305930896,305
way,ওয়ে,305515604,305
days,দেশ,305147791,305
management,ম্যানেজমেন্ট,304201237,304
p,পি,303249898,303
part,পার্ট,302729303,302
could,কোল্ড,302311431,302
great,গ্রেট,301487430,301
united,ইউনাইটেড,299280163,299
hotel,হোটেল,297974790,297
real,রিয়েল,297674493,297
item,আইটেম,296534935,296
international,ইন্টারন্যাশনাল,295639201,295
center,সেন্টার,294319118,294
ebay,এবার,293178760,293
must,মোস্ট,292774716,292
store,স্টোরে,291308910,291
travel,ট্রাভেল,287719294,287
comments,কমেন্টস,287558448,287
made,মেড,287353021,287
development,ডেভেলপমেন্ট,286291411,286
report,রিপোর্ট,286237372,286
member,মেম্বার,283858893,283
details,ডিটেলস,280827841,280
line,লাইন,280009597,280
terms,টার্মস,277705910,277
hotels,হোটেলস,275510917,275
send,সেন্ড,274103587,274
right,রাইট,273620358,273
type,টাইপ,272336859,272
local,লোকাল,270742935,270
using,উসিং,269448880,269
results,রেজাল্টস,268180843,268
office,অফিস,266789622,266
education,এডুকেশন,266738068,266
national,ন্যাশনাল,266376620,266
car,চার্,264720374,264
design,ডিসাইন,264448339,264
take,তাকে,264349801,264
posted,পোস্টেড্,263851272,263
internet,ইন্টারনেট,263777245,263
address,এড্রেস,261872866,261
community,কমিউনিটি,261839117,261
within,উইথিং,261390908,261
states,স্টেটস,260937015,260
area,এরিয়া,259871557,259
want,ওয়ান্ট,258690345,258
phone,ফোন,256643812,256
dvd,ডিভিডি,256530337,256
shipping,শিপিং,256521328,256
reserved,রেসেরভেদ,256443074,256
subject,সাবজেক্ট,256217838,256
forum,ফোরাম,254478181,254
family,ফ্যামিলি,254164055,254
long,লং,252519588,252
based,বেসড,252405204,252
code,কোড,250245121,250
show,শো,247541986,247
even,ইভেন,245697701,245
black,ব্ল্যাক,244690155,244
check,চেক,244491090,244
special,স্পেশাল,244311841,244
prices,প্রিসিশ,243435728,243
website,ওয়েবসাইট,242876222,242
index,ইনডেক্স,242826246,242
women,ওমেন,242520455,242
much,মাচ,242326300,242
sign,সিগণ,242290578,242
file,ফাইল,241864251,241
link,লিংক,240402653,240
open,ওপেন,239670331,239
today,টুডে,239271204,239
technology,টেকনোলজি,238674296,238
south,সাউথ,238581133,238
case,কেস,235563000,235
project,প্রজেক্ট,235262594,235
pages,পেজেস,234001114,234
uk,উঃ,232749142,232
version,ভার্সন,232445953,232
section,সেকশন,232251956,232
found,ফাউন্ড,232005894,232
sports,স্পোর্টস,231864260,231
house,হাউস,231310420,231
related,রিলেটেড,231127472,231
security,সিকিউরিটি,230014019,230
county,কাউন্টি,227567373,227
american,মার্কিন,227534978,227
photo,ফটো,227125249,227
game,গেম,227111505,227
members,মেম্বার্স,226656153,226
power,পাওয়ার,226596368,226
care,কেয়ার,225326739,225
network,নেটওয়ার্ক,225218991,225
computer,কম্পিউটার,224177047,224
systems,সিস্টেমস,223555915,223
three,ত্রি,223417394,223
total,টোটাল,222649459,222
place,প্লেস,220970235,220
end,এন্ড,220812328,220
following,ফল্লওইং,220709925,220
download,ডাউনলোড,220626128,220
without,ব্যতীত,219190105,219
per,পের্,218945655,218
access,এক্সেস,217986984,217
think,থিঙ্ক,217856550,217
north,নর্থ,217809513,217
