Error,Word
থ ক ে,থ ে ক ে
গ র ছ ি ল ই র,গ ড় চ ি র ৌ ল ি র
প ্ র ত ি ক ্ র ি য় া,প ্ র ত ি ক ্ র ি য ় া
ব া ঙ ্ ক ি ং,ব ্ য া ং ক ি ং
খ ্ র চ,খ র চ
অ ত ্ য ন ্ ত,অ ন ্ ত ত
ব া ত স ম া ন,ব ্ য া ট স ম ্ য া ন
এ খ ন,এ খ ন ো
শ ম ্ প র ক,স ম ্ প র ্ ক
র া স ্ ট ্ র ি য ়,র া ষ ্ ট ্ র ী য ়
জ ু দ ্ দ,য ু দ ্ ধ
ম া দ ু র,ম া দ ু র ো
ম া ম ্ ল া,ম া ম ল া
জ ব া ন ব ন ্ দ ী,জ ব া ন ব ন ্ দ ি
ন া,ন য়
স ম য় ত ি ত ে,স ম য ় ট া ত ে
ন ে ত ্ র ি ত ে,ন ে ত ৃ ত ্ ব ে
ধ র শ ঙ ্ ক া র ি ক ে,ধ র ্ ষ ণ ক া র ী ক ে
অ ভ ি ত ি হ,অ ভ ি হ ি ত
আ ন ্ ত ি,অ ্ য া ন ্ ট ি
খ ই খ ত ি,ক ্ ষ য় ক ্ ষ ত ি
ঘ ি ত ন া,ঘ ট ন া
ক র ছ ি,ক র ছ ে
ন ি স ে দ া জ ্ ঞ া,ন ি ষ ে ধ া জ ্ ঞ া
দ া য় ি ত ্ ব হ ি ন দ ে র,দ া য় ি ত ্ ব হ ী ন দ ে র
ব ি র ু দ ে,ব ি র ু দ ্ ধ ে
শ ি শ ু ক া,শ ি শ ু ক ে
ল ে ব ে ল,ল ে ভ ে ল
অ ল ত প া ল ত,ও ল ট প া ল ট
দ ু র ্ ব ্ ল ত া গ ু ল ো,দ ু র ্ ব ল ত া গ ু ল ো
ক ন,ক ো ন
ও ন ে ক ে,অ ন ে ক ে
প র ত ি শ থ া ন ট ি,প ্ র ত ি ষ ্ ঠ া ন ট ি
ম ু ল ্ ল ব ধ,ম ূ ল ্ য ব ো ধ
র া ন ি র,র া ন ী র
দ ্ র ি র,দ ৃ ঢ ়
ক ং র ে স ে,ক ং গ ্ র ে স
ক র ন,ক র ে ন
আ ব ্ দ ু র,আ ব দ ু র
দ ু ব স ্ ক ে,দ ি ব স ক ে
ত া ন ্ দ ব,ত া ণ ্ ড ব
ব া দ ি,ব া দ ী
অ ন ু জ া য় ি,অ ন ু য া য় ী
ঝ ু ক ি,ঝ ু ঁ ক ি
ক ত ্ র ে ল,ক ট র ে ল
ব ে শ ি র ভ া হ,ব ে শ ি র ভ া গ
ব ি শ য় ত ি ক ে,ব ি ষ য় ট ি ক ে
হ য় ে ছ ে,হ য ় ে ছ ে
আ ব ন ্ ম া ন,আ ব হ ম া ন
স ু য ো গ গ ু ল ো ক ে,স ু য ো গ গ ু ল ো র
হ য় র,হ য় ে
প ্ র া র থ ি র দ ে র,প ্ র া র ্ থ ী দ ে র
ভ ি ত ি,ভ ী ত ি
ব া ব ধ া ন ে,ব ্ য ব ধ া ন ে
ক য় ত ি,ক য় ট ি ই
ন া গ র ি ক ত,ন া গ র ি ক ত ্ ব
প ত ি ব ে দ ন ে,প ্ র ত ি ব ে দ ন ে
ব ্ র ি ধ ধ,ব ৃ দ ্ ধ
হ ব ে,হ া ব
শ ঙ ্ গ ে,স ঙ ্ গ ে
থ া ক ন,থ া ক ে ন
ঘ ই ত ন া,ঘ ট ন া
আ ন ি হ া,অ ন ী হ া
ম া ল া ম া ল অ,ম া ল া ম া ল ও
ব ে ত ল ি য় ন ে র,ব ্ য া ট া ল ি য় ন ে র
ব া উ ন ্ দ া র ি,ব া উ ন ্ ড া র ি
আ ন ু ষ ্ ঠ া ন ী ক,আ ন ু ষ ্ ঠ া ন ি ক
গ ল া গ ু ল ি,গ ো ল া গ ু ল ি
প র ি ত ে ক ্ ত,প র ি ত ্ য ক ্ ত
ঘ র ব ব ত ি,গ র ্ ভ ব ত ী
ব া চ া র,ব া ঁ চ া র
ন ি র ম া ত,ন ি র ্ ম া ত া
অ ধ ি ক া ং স,অ ধ ি ক া ং শ
অ ং শ গ ্ র হ ন ্ ম ু ল ্ ক,অ ং শ গ ্ র হ ণ ম ূ ল ক
প ্ র ত ি জ গ ি ত া র,প ্ র ত ি য ো গ ি ত া র
স র ব ন ি ম ্ ম,স র ্ ব ন ি ম ্ ন
গ ন ত ্ র ন ে র,গ ন ত ন ্ ত ্ র ে র
স া ই ফ ু দ ্ দ ি ন ে র,স া ই ফ উ দ ্ দ ি ন ে র
শ ফ র শ ং গ ি র া,স ফ র স ঙ ্ গ ী র া
য ু ক ্ ত র া স ্ ত ্ র,য ু ক ্ ত র া ষ ্ ট ্ র
শ া ল ক ে র,শ ্ য া ল ক ে র
প ্ র ত ি খ া ন,প ্ র ত ী ক ্ ষ া র
স র ও া র দ ি,স ো হ র া ও য় া র ্ দ ী
ত ি র ে,ত ী র ে
এ স ট ে ড ি ই য় া ম ে,স ্ ট ে ড ি য় া ম ে
দ ি ঙ ্ ক ে,দ ি ন ক ে
প ্ র ত ি স ্ ত া ন ্ ত ি,প ্ র ত ি ষ ্ ঠ া ন ট ি
র ে গ ি স ্ ত ্ র া শ ন ে র,র ে জ ি স ্ ট ্ র ে শ ন ে র
দ ে স ত ি র,দ ে শ ট ি র
ত ি ন ই,ত ি ন ি
ন া ম স ে,ন া ম ছ ে
ক া ন া দ া য়,ক ্ য া ন া ড া য ়
স ং ক ত,স ঙ ্ ক ট
প ্ র য় গ ক ে,প ্ র য় ো গ ক ে
অ ঙ ্ ঘ,অ ং গ
উ দ ্ দ া র ক া জ,উ দ ্ ধ া র ক া জ
স দ ে শ ে র,স ্ ব দ ে শ ে র
আ প ্ ন া র া,আ প ন া র া
ব ে ক া র ত ্ ত ে র,ব ে ক া র ত ্ ব ে র
ব ি প ্ ল ব ি,ব ি প ্ ল ব ী
ব ি শ শ ে,ব ি শ ্ ব ে
ধ ন শ া ব শ ে শ,ধ ্ ব ং স া ব শ ে ষ
ল খ ি দ,ল ক হ ি ড
ম া ছ ে র,ম ্ য া চ ে র
উ ত শ ব ক ে,উ ৎ স ব ক ে
ব ি শ ক া প,ব ি শ ্ ব ক া প
ক ্ র ত ে,ক র ত ে
ব ি প [ অ ক ্ ষ ে,ব ি প ক ্ ষ ে
ছ ি ল ো,ছ ি ল
ব ে র ে ই,ব ে ড় ে ই
স ং গ ি ত শ ি ল ্ প ি,স ঙ ্ গ ী ত শ ি ল ্ প ী
অ ব ি স স র ন ি য়,অ ব ি স ্ ম র ণ ী য়
ন ি প ি ড় ন ে র,ন ি প ী ড ় ন ে র
ব ি ষ ্ য ে,ব ি ষ য় ে
চ ি ন ে র,চ ী ন ে র
ম া দ ্ র া স া র,ম া দ র া স া র
ত ্ র ে ন ি ং,ট ্ র ে ন ি ং
প ্ র ক উ শ ল ি,প ্ র ক ৌ শ ল ী র
ভ ু স র ্ গ,ভ ূ স ্ ব র ্ গ
স ে ঘ ু ল র,স ে গ ু ল ো
দ ি ত ে,ন ি ত ে
আ ক জ ন,এ ক জ ন
খ ত ি গ ্ র স ্ ত,ক ্ ষ ত ি গ ্ র স ্ থ
দ ু ই জ ন ে,দ ু জ ন ই
ব ে ব স া য় ি র া,ব ্ য ব স া য় ী র া
উ র ি য় ে ও,উ ড় ি য় ে ও
ন ন ্ দ ি র,ন ন ্ দ ী র
ব ঞ ্ ছ ি ত,ব ঞ ্ চ ি ত
ও য় ি চ ক ে ত,উ ই ক ে ট ে
স ু ক ব র,স ু খ ব র
ম উ খ ি ক,ম ৌ খ ি ক
ছ ু ই ল,ছ ি ল ো
আ ম র া,আ ম া র
স ম ্ প ্ র স া র ন,স ম ্ প ্ র চ া র
প ল ি স ে,প ু ল ি শ ে
জ া ব ো,য া ব ো
আ ভ হ ু ল,আ ঁ চ ল ে
ও ভ া র এ,ও ভ া র ে
ধ া ল া ই,ঢ া ল া ই
ভ গ া ন ্ ত ি ত ে,ভ ো গ া ন ্ ত ি ত ে
গ ও া দ র,গ ো য় া দ র
আ প ্ র ি ল ে র,এ প ্ র ি ল ে র
শ ো উ ম ্ য ে র,স ৌ ম ্ য ে র
ন ে ত য় া র ক,ন ে ট ও য় া র ্ ক
স র ক া র ব ে ব স ্ থ া,স র ক া র ব ্ য ব স ্ থ া
ব ্ য া ট স ্ ম া ন ি,ব ্ য া ট স ম ্ য া ন ই
অ ঙ ্ গ ি ন া য়,আ ঙ ি ন া য়
ত া ন া য়,থ া ন া য়
স া ক ি ল ্ ক ে,শ া ক ি ল ক ে
আ স ঙ ্ ক া,আ শ ঙ ্ ক া
জ া ছ ছ ে,য া চ ্ ছ ে
আ ত ্ ন স া ত,আ ত ্ ম স া ত
জ ফ ্ র া,জ ো ফ ্ র া
ন ি জ দ ে র,ন ি জ ে দ ে র
ম ু ল ্ ল া য় ন,ম ূ ল ্ য া য় ন
ব ে শ র ক া র ি,ব ে স র ক া র ি
শ ত ্ ত,স ত ্ য
ক ম র ে র,ক ো ম র ে র
ন উ স ে ন া র,ন ৌ স ে ন া র
চ ম ত ক া র,চ ম ৎ ক া র
ক ু ল ঘ ে শ া,ক ু ল ঘ ে ষ া
ন া র স া র ি,ন া র ্ স া র ি
দ ু র ব ্ র ি ত ্ ত,দ ু র ্ ব ৃ ত ্ ত
র য় ে ল ি স ্ ত দ ে র,র য় ে ল ি স ্ ট দ ে র
ব া জ ে ত ে র,ব া জ ে ট ে র
ছ া র ে ন ্ ন ি,ছ া ড ় ে ন ন ি
ছ ও ধ ু র ‍ ্ য প া র া,চ ৌ ধ ু র ী প া ড় া
ক া র ন ে,ক া র ণ ে ও
