,gt_x,gt_y,diff
0,কিন্তু ঐ ধরনের পরিস্থিতিতে রাষ্ট্রপতি নির্বাচনে অংশ নেয়াটা ছিলো ওসমানীর মতো বিচক্ষণ ব্যক্তির পক্ষে ভুল সিদ্ধান্ত।,কিন্তু ঐ ধরনের পরিস্থিতিতে রাষ্ট্রপতি নির্বাচনে অংশ নেয়াটা $ছিলো$ ওসমানীর মতো বিচক্ষণ ব্যক্তির পক্ষে ভুল সিদ্ধান্ত।,True
1,সংবাদপত্রে চাকরি করলেও$ কোন$ও মালিকানাগোষ্ঠীর কাছে মাথা নিচু করেন নি।,সংবাদপত্রে চাকরি করলেও কোনও মালিকানাগোষ্ঠীর কাছে মাথা নিচু $করেন নি$।,True
3,কম্যান্ডার গোমেজ একজন গুরুত্বপূর্ণ কৃষি উৎপাদনকারী।,$কম্যান্ডার$ গোমেজ একজন গুরুত্বপূর্ণ কৃষি উৎপাদনকারী।,True
4,তাঁদেরকেও বিনীত ভাবে জানাচ্ছি- আমি নিসার আলি নই।,তাঁদেরকেও $বিনীত ভাবে$ জানাচ্ছি- আমি নিসার আলি নই।,True
8,"প্রায় অনেক্ষণ পর$$ যখন তাদের শরীর থেকে ঘামটা পুরোপুরি শুকিয়ে গেছে, ঠিক তখন মুন্সি হাবিলদারকে বলে উঠলো$$ ""$কি$ জন্য $ডেকেছো$ তাড়াতাড়ি বলো।","প্রায় অনেক্ষণ পর যখন তাদের শরীর থেকে ঘামটা পুরোপুরি শুকিয়ে গেছে, ঠিক তখন মুন্সি হাবিলদারকে বলে উঠলো$$ ""$কি$ জন্য $ডেকেছো$ তাড়াতাড়ি বলো।$$",True
13,মা যদি আমার জীবনচরিত লেখেন$$ $তা হলে$ আমি সকাল সকাল মরতে রাজি আছি।,মা যদি আমার জীবনচরিত লেখেন $তা হলে$ আমি সকাল সকাল মরতে রাজি আছি।,True
20,’‘ড. হাম্বল্ড ঘটনাটা পরিষ্কার করে বলেছেন।,$’‘$ড. হাম্বল্ড ঘটনাটা পরিষ্কার করে বলেছেন।,True
27,$মানে& কীভাবে ফুটেজটা পাবলিশ $করবো$?,$মানে&$ কীভাবে ফুটেজটা পাবলিশ $করবো$?,True
31,তাই বলি $ন্যেকিটা$ সিরিয়াল ছেড়ে রান্নাঘরে কেন ঢুকলো$$,তাই বলি $ন্যেকিটা$ সিরিয়াল ছেড়ে রান্নাঘরে কেন $ঢুকলো$$$,True
35,"কিছু লাগবে, স্যার$।","কিছু লাগবে, স্যার$।$",True
38,"তিনি ও তার বন্ধু যে-বিষয়গুলো নিয়ে কথা বলেছিলেন, সেগুলো তিনি ভালোভাবে বুঝতে পেরেছিলেন।","তিনি ও তার বন্ধু $যে-বিষয়গুলো$ নিয়ে কথা বলেছিলেন, সেগুলো তিনি ভালোভাবে বুঝতে পেরেছিলেন।",True
40,"$.মহা$ মহিমান্বিত তিনি, সর্বময় কর্তৃত্ব ও রাজত্ব যাঁর হাতে$;$ তিনি সব কিছুর উপর ক্ষমতাবান।","$.মহা$ মহিমান্বিত তিনি, সর্বময় কর্তৃত্ব ও রাজত্ব যাঁর হাতে; তিনি সব কিছুর উপর ক্ষমতাবান।",True
51,"এই সহজ কথাটাই $ভুলে ছিলেম$, তুমিই আমাকে দিলে মনে করিয়ে।","এই সহজ কথাটাই ভুলে $ছিলেম$, তুমিই আমাকে দিলে মনে করিয়ে।",True
55,আজ সকাল$$সকাল খেতে এসো।,আজ $সকালসকাল$ খেতে এসো।,True
61,তাই ভবিষ্যতে যাচাইবাছাই করে প্রকাশক নির্বাচনের মধ্য দিয়ে গ্রন্থমেলা পরিচালনা করতে হবে।,তাই ভবিষ্যতে $যাচাইবাছাই$ করে প্রকাশক নির্বাচনের মধ্য দিয়ে গ্রন্থমেলা পরিচালনা করতে হবে।,True
63,বাবা কেমন করে সব সহ্য করেন$$ দেখেছিস তো?,বাবা কেমন করে সব সহ্য করেন দেখেছিস তো?,True
